"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
Dunfermline and West Fife [209],59.9,"Squire, R.A. Ms.*",Lab,20'111,47.4,,-,7
70'775, ,"Herbert, D.W.",LD,8'549,20.2,,+,5.9
, ,"Chapman, D.G.",SNP,8'026,18.9,,+,1.1
, ,"Smillie, R.J.M.",Con,4'376,10.3,,+,0.6
, ,"Archibald, S. Ms.",SSP,689,1.6,*,-,0.8
, ,"Borland, I.C.",UKIP,643,1.5,*,,
, , , ,-----,---,, , 
,, , ,11'562,27.3,, , 
2001: Lab,, , , , , , , 
Durham North [210],55.4,"Jones, K.D.*",Lab,23'932,64.1,,-,3.1
67'427, ,"Latham, P.R.",LD,7'151,19.2,,+,5.1
, ,"Watson, M.A.",Con,6'258,16.8,,-,2
, , , ,-----,---,, , 
,, , ,16'781,44.9,, , 
2001: Lab,, , , , , , , 
Durham North West [211],57.9,"Armstrong, H.J. Ms.*",Lab,21'312,53.9,,-,8.6
68'293, ,"Ord, A.C.",LD,7'869,19.9,,+,5
, ,"Devlin, J.A.",Con,6'463,16.4,,-,4.5
, ,"Stelling, W.",Ind,3'865,9.8,, , 
, , , ,-----,---,, , 
,, , ,13'443,34,, , 
2001: Lab,, , , , , , , 
Durham [212],63.5,"Blackman-Woods, R.C. Ms.",Lab,20'928,47.2,,-,8.9
69'879, ,"Woods, C.A. Ms.",LD,17'654,39.8,,+,16.1
, ,"Rogers, B.R.V.",Con,4'179,9.4,,-,7.9
, ,"Martin, A.J.",Ver,1'603,3.6,*,, 
, , , ,-----,---,, , 
,, , ,3'274,7.4,, , 
2001: Lab,, , , , , , , 
Ealing Acton and Shepherd's Bush [213],54.7,"Slaughter, A.F.",Lab,16'579,41.8,,-,12.3
72'479, ,"Gough, J.H.",Con,11'059,27.9,,+,2.8
, ,"Malcolm, G.",LD,9'986,25.2,,+,8.6
, ,"Burgess, G.P.",Grn,1'999,5,, ,
, , , ,-----,---,, , 
,, , ,5'520,13.9,, , 
2001: Lab,, , , , , , , 
Ealing North [214],59.8,"Pound, S.P.*",Lab,20'956,45.1,,-,10.6
77'787, ,"Curtis, R.C.",Con,13'897,29.9,,+,0.6
, ,"Fruzza, F.R.A.",LD,9'148,19.7,,+,8.5
, ,"Outten, A.G.",Grn,1'319,2.8,*,+,0.5
, ,"Lambert, R.A.D.",UKIP,692,1.5,*,+,0
, ,"Malindine, D.",Ver,495,1.1,*,, 
, , , ,-----,---,, , 
,, , ,7'059,15.2,, , 
2001: Lab,, , , , , , , 
Ealing Southall [215],56.5,"Khabra, P.S.*",Lab,22'937,48.8,,+,1.3
83'246, ,"Bakhai, N.",LD,11'497,24.4,,+,14.4
, ,"Nicholson, M.D.Y.",Con,10'147,21.6,,+,3.3
, ,"Edwards, S.J. Ms.",Grn,2'175,4.6,*,+,0.1
, ,"Bilku, M.",WRP,289,0.6,*,, 
, , , ,-----,---,, , 
,, , ,11'440,24.3,, , 
2001: Lab,,,,,,,,
Easington [216],52.1,"Cummings, J.S.*",Lab,22'733,71.4,,-,5.5
61'084, ,"Ord, C.J.",LD,4'097,12.9,,+,2.5
, ,"Nicholson, L.D. Ms.",Con,3'400,10.7,,+,0.3
, ,"McDonald, I.",BNP,1'042,3.3,*,,
, ,"Robinson, D.",SL,583,1.8,*,,
, , , ,-----,---,, , 
,, , ,18'636,58.5,, , 
2001: Lab,, , , , , , , 
East Ham [217],50.7,"Timms, S.C.*",Lab,21'326,53.9,,-,19.2
78'110, ,"Mian, A.K.",Resp,8'171,20.7,, ,
, ,"Macken, S.L. Ms.",Con,5'196,13.1,,-,3.5
, ,"Haigh, A.M. Ms.",LD,4'296,10.9,,+,3.9
, ,"Bamber, D.J.",CPA,580,1.5,*,, 
, , , ,-----,---,, , 
,, , ,13'155,33.2,, , 
2001: Lab,, , , , , , , 
"East Kilbride Strathaven and Lesmahagow   [218]",63.4,"Ingram, A.*",Lab,23'264,48.7,,-,4.2
75'251, ,"Edwards, D.",SNP,8'541,17.9,,-,5.8
, ,"Oswald, J.",LD,7'904,16.6,,+,6.5
, ,"Lewis, T.",Con,4'776,10,,+,0.3
, ,"Robb, K. Ms.",Grn,1'575,3.3,*,,
, ,"Gentle, R. Ms.",Ind,1'513,3.2,*,, 
, ,"Houston, J.",Ind,160,0.3,*,, 
, , , ,-----,---,, , 
,, , ,14'723,30.8,, , 
2001: Lab,, , , , , , , 
East Lothian [219],64.8,"Picking, A. Ms.*",Lab,18'983,41.5,,-,7.4
70'672, ,"Butler, C.A.",LD,11'363,24.8,,+,7.7
, ,"Stevenson, W.C.F.",Con,7'315,16,,-,0.1
, ,"McLennan, P.S.",SNP,5'995,13.1,,-,1.8
, ,"Collie, M.",Grn,1'132,2.5,*,,
, ,"Galbraith, G.",SSP,504,1.1,*,-,1.1
, ,"Robb, E.G.",UKIP,306,0.7,*,,
, ,"Thompson, W.A.",OCV,178,0.4,*,, 
, , , ,-----,---,, , 
,, , ,7'620,16.6,, , 
2001: Lab,, , , , , , , 
Eastbourne [220],64.7,"Waterson, N.C.*",Con,21'033,43.5,,-,0.6
74'759, ,"Lloyd, S.A.C.",LD,19'909,41.1,,+,1.9
, ,"Jones, A.M.",Lab,5'268,10.9,,-,2.4
, ,"Meggs, A.P.",UKIP,1'233,2.5,*,+,0.5
, ,"Gross, C.D.",Grn,949,2,*,,
, , , ,-----,---,, , 
,, , ,1'124,2.3,, , 
2001: Con,, , , , , , , 
Eastleigh [221],65.7,"Huhne, C.M.P.",LD,19'216,38.6,,-,2.1
75'740, ,"Burns, C.",Con,18'648,37.5,,+,3.2
, ,"Watt, C.J.",Lab,10'238,20.6,,-,1.3
, ,"Murphy, C.P.",UKIP,1'669,3.4,*,+,1.6
, , , ,-----,---,, , 
,, , ,568,1.1,, , 
2001: LD,, , , , , , , 
Eccles [222],50.2,"Stewart, I.*",Lab,19'702,56.9,,-,7.6
69'006, ,"Matuk, T. Ms.",Con,6'816,19.7,,-,1
, ,"Brophy, J.E. Ms.",LD,6'429,18.6,,+,3.7
, ,"Reeve, P.D.",UKIP,1'685,4.9,*,,
, , , ,-----,---,, , 
,, , ,12'886,37.2,, , 
2001: Lab,, , , , , , , 
Eddisbury [223],63.2,"O'Brien, S.R.*",Con,21'181,46.4,,+,0.1
72'249, ,"Green, M.R.",Lab,14'986,32.8,,-,3.2
, ,"Crotty, J. Ms.",LD,8'182,17.9,,+,2.2
, ,"Roxborough, S.M.",UKIP,1'325,2.9,*,+,0.9
, , , ,-----,---,, , 
,, , ,6'195,13.6,, , 
2001: Con,, , , , , , , 
Edinburgh East [224],60.9,"Strang, G.S.*",Lab,15'899,40,,-,9.7
65'154, ,"Mackenzie, G.",LD,9'697,24.4,,+,7.2
, ,"Tymkewycz, S.",SNP,6'760,17,,+,0.6
, ,"Brown, M.",Con,4'093,10.3,,-,0.8
, ,"Gillespie, C.E. Ms.",Grn,2'266,5.7,, ,
, ,"Grant, C.M. Ms.",SSP,868,2.2,*,-,1.9
, ,"Harris, B.",DDT,89,0.2,*,, 
, ,"Clifford, P.",,37,0.1,*, ,
, , , ,-----,---,, , 
,, , ,6'202,15.6,, , 
2001: Lab,, , , , , , , 
Edinburgh North and Leith [225],62.4,"Lazarowicz, M.J.*",Lab,14'597,34.2,,-,7.6
68'352, ,"Crockart, M.B.",LD,12'444,29.2,,+,8.9
, ,"Whyte, I.",Con,7'969,18.7,,+,0
, ,"Hutchison, D.G.",SNP,4'344,10.2,,-,4.2
, ,"Sydenham, M.W.D.",Grn,2'482,5.8,, ,
, ,"Scott, W.C.",SSP,804,1.9,*,-,1.7
, , , ,-----,---,, , 
,, , ,2'153,5,, , 
2001: Lab,, , , , , , , 
Edinburgh South [226],69.4,"Griffiths, N.*",Lab,14'188,33.2,,-,6
61'499, ,"MacLaren, M.A. Ms.",LD,13'783,32.3,,+,7
, ,"Brown, G.L.",Con,10'291,24.1,,+,1.4
, ,"Sutherland, G.D.",SNP,2'635,6.2,,-,3.1
, ,"Burgess, S.A.M.",Grn,1'387,3.2,*,,
, ,"Robertson, M. Ms.",SSP,414,1,*,-,1.2
, , , ,-----,---,, , 
,, , ,405,0.9,, , 
2001: Lab,, , , , , , , 
Edinburgh South West [227],65,"Darling, A.*",Lab,17'476,39.8,,-,4.6
67'584, ,"Buchan, G.G.C.",Con,10'234,23.3,,-,3.2
, ,"Clark, S.J.",LD,9'252,21.1,,+,9.4
, ,"Elliott-Cannon, N.A.",SNP,4'654,10.6,,-,2.8
, ,"Blair-Fish, J.A.",Grn,1'520,3.5,*,,
, ,"Smith, P. Ms.",SSP,585,1.3,*,-,0.9
, ,"Boys, C.W.G.",UKIP,205,0.5,*,,
, , , ,-----,---,, , 
,, , ,7'242,16.5,, , 
2001: Lab,, , , , , , , 
Edinburgh West [228],68.3,"Barrett, J.A.*",LD,22'417,49.5,,+,11.2
66'261, ,"Brogan, D.A.",Con,8'817,19.5,,-,2.2
, ,"Ghaleigh, N.S.",Lab,8'433,18.6,,-,7.8
, ,"Cleland, S.M. Ms.",SNP,4'124,9.1,,-,1.6
, ,"Spindler, A. Ms.",Grn,964,2.1,*,,
, ,"Clark, G.P.",SSP,510,1.1,*,-,1
, , , ,-----,---,, , 
,, , ,13'600,30,, , 
2001: LD,, , , , , , , 
Edmonton [229],58.8,"Love, A.M.*",Lab,18'456,53.2,,-,5.7
59'050, ,"Zetter, L.D.",Con,10'381,29.9,,-,0.9
, ,"Kilbane-Dawe, I.J.",LD,4'162,12,,+,5
, ,"Armstrong, N.R. Ms.",Grn,889,2.6,*,,
, ,"Rolph, G.W. Ms.",UKIP,815,2.3,*,+,1.2
, , , ,-----,---,, , 
,, , ,8'075,23.3,, , 
2001: Lab,, , , , , , , 
Ellesmere Port and Neston [230],61.6,"Miller, A.P.*",Lab,20'371,48.4,,-,6.9
68'249, ,"Hogg, A.M.",Con,13'885,33,,+,3.9
, ,"Cooke, S.M.",LD,6'607,15.7,,+,4.1
, ,"Crocker, H.F.",UKIP,1'206,2.9,*,+,0.9
, , , ,-----,---,, , 
,, , ,6'486,15.4,, , 
2001: Lab,, , , , , , , 
Elmet [231],68.8,"Burgon, C.*",Lab,22'260,47.2,,-,0.8
68'515, ,"Millard, A.",Con,17'732,37.6,,-,1.3
, ,"Kirk, M.A. Ms.",LD,5'923,12.6,,+,1.7
, ,"Andrews, T.A. Ms.",BNP,1'231,2.6,*,,
, , , ,-----,---,, , 
,, , ,4'528,9.6,, , 
2001: Lab,, , , , , , , 
Eltham [232],62.2,"Efford, C.S.*",Lab,15'381,43.6,,-,9.3
56'797, ,"Drury, S.",Con,12'105,34.3,,+,2.2
, ,"Gerrard, I.J.",LD,5'669,16.1,,+,3.9
, ,"Elms, J.C.",UKIP,1'024,2.9,*,+,0.8
, ,"Roberts, B.J.",BNP,979,2.8,*,,
, ,"Graham, A.J.",Ind,147,0.4,*,, 
, , , ,-----,---,, , 
,, , ,3'276,9.3,, , 
2001: Lab,, , , , , , , 
Enfield North [233],61.2,"Ryan, J.M. Ms.*",Lab,18'055,44.3,,-,2.4
66'612, ,"De Bois, G.N.",Con,16'135,39.6,,-,1.1
, ,"Radford, S.W.",LD,4'642,11.4,,+,2.6
, ,"Farr, T.C.",BNP,1'004,2.5,*,+,0.9
, ,"Robbens, G.A.",UKIP,750,1.8,*,+,0.7
, ,"Burns, P.A.",Ind,163,0.4,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,1'920,4.7,, , 
2001: Lab,, , , , , , , 
Enfield Southgate [234],66.2,"Burrowes, D.J.B.",Con,18'830,44.6,,+,6
63'720, ,"Twigg, S.*",Lab,17'083,40.5,,-,11.4
, ,"Kakoulakis, Z.",LD,4'724,11.2,,+,4.2
, ,"Doughty, T.",Grn,1'083,2.6,*,+,1
, ,"Hall, B.J.",UKIP,490,1.2,*,+,0.4
, , , ,-----,---,, , 
,, , ,1'747,4.1,, , 
2001: Lab,, , , , , , , 
Epping Forest [235],62.6,"Laing, E.F. Ms.*",Con,23'783,53,,+,3.9
71'639, ,"Charalambous, B.",Lab,9'425,21,,-,8.2
, ,"Heavens, M.A.C.",LD,8'279,18.5,,-,0.1
, ,"Leppert, J.P.",BNP,1'728,3.9,*,,
, ,"Smith, A.G.",UKIP,1'014,2.3,*,-,0.8
, ,"Tilbrook, R.",ED,631,1.4,*,, 
, , , ,-----,---,, , 
,, , ,14'358,32,, , 
2001: Con,, , , , , , , 
Epsom and Ewell [236],66.4,"Grayling, C.S.*",Con,27'146,54.4,,+,6.3
75'128, ,"Lees, J.C.",LD,10'699,21.4,,-,0.7
, ,"Mansell, C.J.",Lab,10'265,20.6,,-,5.9
, ,"Kefford, P.J.",UKIP,1'769,3.5,*,+,0.2
, , , ,-----,---,, , 
,, , ,16'447,33,, , 
2001: Con,, , , , , , , 
Erewash [237],64.5,"Blackman, E.M. Ms.*",Lab,22'472,44.5,,-,4.8
78'356, ,"Simmonds, D.T.",Con,15'388,30.4,,-,4.5
, ,"Garnett, M.C.",LD,7'073,14,,+,2.5
, ,"Kilroy-Silk, R.",Ver,2'957,5.8,, , 
, ,"Graham, S.B. Ms.",BNP,1'319,2.6,*,+,1.4
, ,"Kingscott, A.G.",UKIP,941,1.9,*,+,0.4
, ,"Seerius, R.U.",MRLP,287,0.6,*,, 
, ,"Bishop, D.L.",Elvis,116,0.2,*,, 
, , , ,-----,---,, , 
,, , ,7'084,14,, , 
2001: Lab,, , , , , , , 
Erith and Thamesmead [238],52.3,"Austin, J.E.*",Lab,20'483,54.4,,-,4.9
72'058, ,"Bromby, C.R.",Con,8'983,23.9,,-,1.9
, ,"Toole, S.T.",LD,5'088,13.5,,+,2.1
, ,"Ravenscroft, B.",BNP,1'620,4.3,*,,
, ,"Thomas, B.R.",UKIP,1'477,3.9,*,,
, , , ,-----,---,, , 
,, , ,11'500,30.5,, , 
2001: Lab,, , , , , , , 
Esher and Walton [239],62.3,"Taylor, I.C.*",Con,21'882,45.7,,-,3.3
76'870, ,"Marsh, M.J.P.",LD,14'155,29.6,,+,7.1
, ,"Taylor, R.C.H.",Lab,9'309,19.4,,-,4.2
, ,"Collignon, B.M.",UKIP,1'582,3.3,*,-,1.6
, ,"Chinnery, J.",MRLP,608,1.3,*,, 
, ,"Cutler, R.G.",SL,342,0.7,*,,
, , , ,-----,---,, , 
,, , ,7'727,16.1,, , 
2001: Con,, , , , , , , 
Essex North [240],66.6,"Jenkin, B.C.*",Con,22'811,47.6,,+,0.1
71'990, ,"Hughes, E.P. Ms.",Lab,11'908,24.8,,-,6.6
, ,"Raven, J.R.",LD,9'831,20.5,,+,3
, ,"Fox, C.J.",Grn,1'718,3.6,*,,
, ,"Curtis, G.S.",UKIP,1'691,3.5,*,-,0.1
, , , ,-----,---,, , 
,, , ,10'903,22.7,, , 
2001: Con,, , , , , , , 
Exeter [241],66.3,"Bradshaw, B.P.J.*",Lab,22'619,41.1,,-,8.7
83'105, ,"Cox, P.J.",Con,14'954,27.2,,-,0.3
, ,"Underwood, J.W.R.",LD,11'340,20.6,,+,8.2
, ,"Danks, M.E. Ms.",Lib,2'214,4,*,, 
, ,"Brenan, T.J.R.",Grn,1'896,3.4,*,+,1.1
, ,"Fitzgeorge-Parker, M.",UKIP,1'854,3.4,*,+,1.3
, ,"Stuart, J.S.",Ind,191,0.3,*,, 
, , , ,-----,---,, , 
,, , ,7'665,13.9,, , 
2001: Lab,, , , , , , , 
Falkirk [242],59.6,"Joyce, E.*",Lab,23'264,50.9,,-,2.9
76'784, ,"Love, L.A. Ms.",SNP,9'789,21.4,,-,2.2
, ,"Chomczuk, C.",LD,7'321,16,,+,9.2
, ,"Potts, D.",Con,4'538,9.9,,+,1.5
, ,"Quinlan, D.",SSP,838,1.8,*,-,0.4
, , , ,-----,---,, , 
,, , ,13'475,29.5,, , 
2001: Lab,, , , , , , , 
Falmouth and Camborne [243],67.1,"Goldsworthy, J.A. Ms.",LD,16'747,34.9,,+,10.4
71'509, ,"Atherton, C.K. Ms.*",Lab,14'861,31,,-,8.6
, ,"Crossley, A.R.",Con,12'644,26.3,,-,3.6
, ,"Mahon, M.K.",UKIP,1'820,3.8,*,+,1
, ,"Mudd, W.D.",Ind,961,2,*,, 
, ,"Holmes, P.T.",Lib,423,0.9,*,, 
, ,"Wasley, H.A. Ms.",MK,370,0.8,*,, 
, ,"Gifford, P.",Ver,128,0.3,*,, 
, ,"Smith, R.G.P.",Mast,61,0.1,*,, 
, , , ,-----,---,, , 
,, , ,1'886,3.9,, , 
2001: Lab,, , , , , , , 
Fareham [244],66.9,"Hoban, M.G.*",Con,24'151,49.7,,+,2.7
72'591, ,"Carr, J.W.",Lab,12'449,25.6,,-,6
, ,"De Ste Croix, R.J.",LD,10'551,21.7,,+,3
, ,"Mason-Apps, P.W.",UKIP,1'425,2.9,*,+,0.3
, , , ,-----,---,, , 
,, , ,11'702,24.1,, , 
2001: Con,, , , , , , , 
Faversham and Kent Mid [245],65.7,"Robertson, H.M.*",Con,21'690,49.7,,+,4.1
66'425, ,"Bradstock, A.W.",Lab,12'970,29.7,,-,5.7
, ,"Naghi, D.S.",LD,7'204,16.5,,+,3
, ,"Thompson, R.P.",UKIP,1'152,2.6,*,+,0.6
, ,"Davidson, N.A.W.",MRLP,610,1.4,*,, 
, , , ,-----,---,, , 
,, , ,8'720,20,, , 
2001: Con,, , , , , , , 
Feltham and Heston [246],48.7,"Keen, A.*",Lab,17'741,47.6,,-,11.6
76'531, ,"Bowen, R.M.",Con,10'921,29.3,,+,5.1
, ,"Khalsa, S.K. Ms.",LD,6'177,16.6,,+,2.8
, ,"Kemp, G.",NF,975,2.6,*,, 
, ,"Anstis, G.E.A. Ms.",Grn,815,2.2,*,,
, ,"Mullett, L.S.",UKIP,612,1.6,*,,
, ,"Prachar, W.W.",Ind,41,0.1,*,, 
, , , ,-----,---,, , 
,, , ,6'820,18.3,, , 
2001: Lab,, , , , , , , 
Fermanagh and South Tyrone [247],73.5,"Gildernew, M. Ms.*",SF,18'638,38.2,,+,4.1
66'415, ,"Foster, A.I. Ms.",DUP,14'056,28.8,, ,
, ,"Elliott, T.B.",UU,8'869,18.2,,-,15.9
, ,"Gallagher, T.",SDLP,7'230,14.8,,-,3.9
, , , ,-----,---,, , 
,, , ,4'582,9.4,, , 
2001: SF,, , , , , , , 
Fife North East  [248],62.1,"Campbell, M.*",LD,20'088,52.1,,+,3
62'059, ,"Scott-Hayward, M.D.A.",Con,7'517,19.5,,-,3.4
, ,"King, A.",Lab,4'920,12.8,,-,1.6
, ,"Campbell, R.A.M.",SNP,4'011,10.4,,-,0.3
, ,"Park, J.",Grn,1'071,2.8,*,,
, ,"Pickard, D.W.",UKIP,533,1.4,*,,
, ,"Ferguson, J.",SSP,416,1.1,*,-,0.7
, , , ,-----,---,, , 
,, , ,12'571,32.6,, , 
2001: LD,, , , , , , , 
Finchley and Golders Green [249],61.7,"Vis, R.J.*",Lab,17'487,40.5,,-,5.8
70'000, ,"Mennear, K.A.",Con,16'746,38.8,,+,1
, ,"Garden, S.E. Ms.",LD,7'282,16.9,,+,4.8
, ,"Lynch, N.T.",Grn,1'136,2.6,*,-,0.5
, ,"Jacobs, J.C.",UKIP,453,1,*,+,0.3
, ,"Weiss, R.G.",Vote,110,0.3,*,, 
, , , ,-----,---,, , 
,, , ,741,1.7,, , 
2001: Lab,, , , , , , , 
Folkestone and Hythe [250],68.8,"Howard, M.*",Con,26'161,53.9,,+,8.9
70'498, ,"Carroll, P.D.",LD,14'481,29.9,,-,2.3
, ,"Tomison, M. Ms.",Lab,6'053,12.5,,-,7.7
, ,"Dawe, H.F. Ms.",Grn,688,1.4,*,,
, ,"Holdsworth, P.A. Ms.",UKIP,619,1.3,*,-,1.4
, ,"Jug, L.T.",MRLP,175,0.4,*,, 
, ,"Hylton-Potts, R.",GBB,153,0.3,*,, 
, ,"Leon-Smith, G.",SCP,151,0.3,*,, 
, ,"Dunn, S. Ms.",PAP,22,0,*,, 
, , , ,-----,---,, , 
,, , ,11'680,24.1,, , 
2001: Con,, , , , , , , 
Forest of Dean [251],70.8,"Harper, M.J.",Con,19'474,40.9,,+,2.1
67'241, ,"Owen, I.M. Ms.",Lab,17'425,36.6,,-,6.8
, ,"Coleman, C.F.",LD,8'185,17.2,,+,4.3
, ,"Hill, P.H. Ms.",UKIP,1'140,2.4,*,+,0.9
, ,"Tweedie, S.J.O.",Grn,991,2.1,*,-,0.7
, ,"Reeve, A.",Ind,300,0.6,*,, 
, ,"Morgan, G.R.",EPP,125,0.3,*,, 
, , , ,-----,---,, , 
,, , ,2'049,4.3,, , 
2001: Lab,, , , , , , , 
Foyle [252],66.3,"Durkan, J.M.",SDLP,21'119,46.3,,-,3.9
68'758, ,"McLaughlin, M.",SF,15'162,33.2,,+,6.7
, ,"Hay, W.",DUP,6'557,14.4,,-,0.8
, ,"McCann, E.",SEA,1'649,3.6,*,, 
, ,"Storey, E.",UU,1'091,2.4,*,-,4.5
, ,"Reel, B.",Vote,31,0.1,*,, 
, , , ,-----,---,, , 
,, , ,5'957,13.1,, , 
2001: SDLP,, , , , , , , 
Fylde [253],60.5,"Jack, J.M.*",Con,24'287,53.4,,+,1.1
75'185, ,"Parbury, W.J.",Lab,11'828,26,,-,4.8
, ,"Winlow, W.",LD,7'748,17,,+,2.3
, ,"Akeroyd, T.J.",Lib,1'647,3.6,*,, 
, , , ,-----,---,, , 
,, , ,12'459,27.4,, , 
2001: Con,, , , , , , , 
Gainsborough [254],65,"Leigh, E.J.E.*",Con,20'040,43.9,,-,2.3
70'244, ,"Heath, A.J.R.",LD,12'037,26.4,,-,0.3
, ,"Knight, J.R.",Lab,11'744,25.7,,-,1.4
, ,"Pearson, S.",UKIP,1'860,4.1,*,,
, , , ,-----,---,, , 
,, , ,8'003,17.5,, , 
2001: Con,, , , , , , , 
Gateshead East and Washington West [255],56.4,"Hodgson, S. Ms.",Lab,20'997,60.6,,-,7.6
61'421, ,"Hindle, F.",LD,7'590,21.9,,+,7
, ,"Martin, L.",Con,4'812,13.9,,-,0.9
, ,"Batty, W.J.E.",UKIP,1'269,3.7,*,+,1.5
, , , ,-----,---,, , 
,, , ,13'407,38.7,, , 
2001: Lab,, , , , , , , 
Gedling [256],64.4,"Coaker, V.R.*",Lab,20'329,46.1,,-,5
68'405, ,"Soubry, A.M. Ms.",Con,16'518,37.5,,-,0.8
, ,"Poynter, R.A.",LD,6'070,13.8,,+,3.2
, ,"Margerison, A.J.",UKIP,741,1.7,*,,
, ,"Johnson, D.M. Ms.",Ver,411,0.9,*,, 
, , , ,-----,---,, , 
,, , ,3'811,8.6,, , 
2001: Lab,,,,,,,,
Gillingham [257],64.1,"Clark, P.G.*",Lab,18'621,41.2,,-,3.3
70'461, ,"Butcher, T.R.",Con,18'367,40.7,,+,1.6
, ,"Stamp, A.T.O.",LD,6'734,14.9,,+,1.3
, ,"Mackinlay, C.",UKIP,1'191,2.6,*,+,0.4
, ,"Bryan, G.C.",Ind,254,0.6,*,, 
, , , ,-----,---,, , 
,, , ,254,0.6,, , 
2001: Lab,, , , , , , , 
Glasgow Central [258],43.9,"Sarwar, M.*",Lab,13'518,48.2,,-,6.5
63'869, ,"Nelson, I. Ms.",LD,4'987,17.8,,+,8.2
, ,"Kidd, W.",SNP,4'148,14.8,,-,6.1
, ,"Sullivan, R.A.",Con,1'757,6.3,,+,0.1
, ,"Masterton, G.H.M.",Grn,1'372,4.9,*,,
, ,"Gordon, M. Ms.",SSP,1'110,4,*,-,2.6
, ,"Hamilton, W.",BNP,671,2.4,*,,
, ,"Johnson, I.",SL,255,0.9,*,,
, ,"Greig, T.D.",OCV,139,0.5,*,, 
, ,"McKenzie, E. Ms.",Comm,80,0.3,*,, 
, , , ,-----,---,, , 
,, , ,8'531,30.4,, , 
2001: Lab,, , , , , , , 
Glasgow East [259],48.2,"Marshall, D.*",Lab,18'775,60.7,,-,3
64'218, ,"McNeill, L.",SNP,5'268,17,,-,0.1
, ,"Jackson, D.M.",LD,3'665,11.8,,+,6.1
, ,"Thomson, C.W.",Con,2'135,6.9,,+,0.8
, ,"Savage, G.",SSP,1'096,3.5,*,-,3.4
, , , ,-----,---,, , 
,, , ,13'507,43.7,, , 
2001: Lab,, , , , , , , 
Glasgow North [260],50.4,"McKechin, A. Ms.*",Lab,11'001,39.4,,-,9
55'370, ,"Rodger, A. Ms.",LD,7'663,27.4,,+,8.4
, ,"McLean, K.",SNP,3'614,12.9,,-,3.4
, ,"Pope, B.C.",Con,2'441,8.7,,+,0.5
, ,"Bartos, M.",Grn,2'135,7.6,, ,
, ,"Tarlton, N.W.",SSP,1'067,3.8,*,-,2.6
, , , ,-----,---,, , 
,, , ,3'338,12,, , 
2001: Lab,, , , , , , , 
Glasgow North East [261],45.8,"Martin, M.J.*",Speaker,15'153,53.3,,+,1.7
62'106, ,"McLaughlin, J.F.",SNP,5'019,17.7,,-,0.5
, ,"Kelly, D. Ms.",SL,4'036,14.2,, ,
, ,"Campbell, G.M.",SSP,1'402,4.9,*,-,3.1
, ,"Houston, D.",SU,1'266,4.5,*,, 
, ,"McLean, S.",BNP,920,3.2,*,,
, ,"Chambers, J.",Ind,622,2.2,*,, 
, , , ,-----,---,, , 
,, , ,10'134,35.7,, , 
2001: Speaker,, , , , , , , 
Glasgow North West [262],55.2,"Robertson, J.*",Lab,16'748,49.2,,-,5.7
61'686, ,"Graham, P.",LD,6'655,19.5,,+,7.9
, ,"Hendry, G.A.",SNP,4'676,13.7,,-,2.3
, ,"Roxburgh, W.M.",Con,3'262,9.6,,+,0.2
, ,"Wardrop, M.F. Ms.",Grn,1'333,3.9,*,,
, ,"Irwin, A. Ms.",SSP,1'108,3.3,*,-,2.9
, ,"Muir, C.",SL,279,0.8,*,,
, , , ,-----,---,, , 
,, , ,10'093,29.6,, , 
2001: Lab,, , , , , , , 
Glasgow South [263],56,"Harris, T.*",Lab,18'153,47.2,,-,3.2
68'583, ,"Sanderson, A.",LD,7'321,19,,+,6.6
, ,"MacLean, F.",SNP,4'860,12.6,,-,4.7
, ,"McAlpine, J. Ms.",Con,4'836,12.6,,-,1.2
, ,"Allan, K. Ms.",Grn,1'692,4.4,*,,
, ,"Stevenson, J.R.",SSP,1'303,3.4,*,-,2.5
, ,"Entwistle, D.E. Ms.",SL,266,0.7,*,,
, , , ,-----,---,, , 
,, , ,10'832,28.2,, , 
2001: Lab,, , , , , , , 
Glasgow South West [264],50.1,"Davidson, I.*",Lab,18'653,60.2,,-,1.7
61'828, ,"Dornan, J.J.",SNP,4'757,15.4,,-,2.1
, ,"Gordon, K. Ms.",LD,3'593,11.6,,+,6.1
, ,"Brady, S.T.",Con,1'786,5.8,,+,0.4
, ,"Baldassara, K.R.",SSP,1'666,5.4,,-,4.1
, ,"McConnachie, A.D.",IGV,379,1.2,*,, 
, ,"Shaw, V. Ms.",SL,143,0.5,*,,
, , , ,-----,---,, , 
,, , ,13'896,44.9,, , 
2001: Lab,, , , , , , , 
Glenrothes [265],56.1,"MacDougall, J.W.*",Lab,19'395,51.9,,-,6
66'563, ,"Beare, J.D.",SNP,8'731,23.4,,-,0.6
, ,"Riches, E. Ms.",LD,4'728,12.7,,+,4.8
, ,"Don, B.C. Ms.",Con,2'651,7.1,,-,0.4
, ,"Rodger, G.",PPS,716,1.9,*,, 
, ,"Balfour, M.A. Ms.",SSP,705,1.9,*,-,0.8
, ,"Smith, P.W.G.",UKIP,440,1.2,*,,
, , , ,-----,---,, , 
,, , ,10'664,28.5,, , 
2001: Lab,, , , , , , , 
Gloucester [266],63.5,"Dhanda, P.S.*",Lab,23'138,44.7,,-,1.1
81'624, ,"James, P.S.",Con,18'867,36.4,,-,1.3
