"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
, , , ,-----,---,, , 
,, , ,3'383,8,, , 
2001: Lab,, , , , , , , 
Bedfordshire Mid [40],68.6,"Dorries, N.V. Ms.",Con,23'345,46.3,,-,1.1
73'549, ,"Chapman, M.R.",LD,11'990,23.8,,+,4
, ,"Lindsay, M.",Lab,11'351,22.5,,-,7.6
, ,"Joselyn, R.H.",UKIP,1'372,2.7,*,-,0
, ,"Foley, N.B.",Grn,1'292,2.6,*,,
, ,"Martin, H.",Ver,769,1.5,*,, 
, ,"Ali, S.I.",Ind,301,0.6,*,, 
, , , ,-----,---,, , 
,, , ,11'355,22.5,, , 
2001: Con,, , , , , , , 
Bedfordshire North East [41],68,"Burt, A.J.H.*",Con,24'725,49.9,,+,0
72'762, ,"White, K.M.",Lab,12'474,25.2,,-,5.8
, ,"Rutherford, S.J.",LD,10'320,20.8,,+,4.5
, ,"May, J.G.",UKIP,1'986,4,*,+,1.3
, , , ,-----,---,, , 
,, , ,12'251,24.7,, , 
2001: Con,,,,,,,,
,, , , , , , , 
Bedfordshire South West [42],62.8,"Selous, A.E.A.*",Con,22'114,48.3,,+,6.1
72'925, ,"Still, J.E. Ms.",Lab,13'837,30.2,,-,10.2
, ,"Strange, A.M.",LD,7'723,16.9,,+,2.1
, ,"Wise, T.H.",UKIP,1'923,4.2,*,+,1.5
, ,"Gurney, K.F.F.",OF,217,0.5,*,, 
, , , ,-----,---,, , 
,, , ,8'277,18.1,, , 
2001: Con,, , , , , , , 
Belfast East [43],58.3,"Robinson, P.*",DUP,15'152,49.1,,+,6.6
52'899, ,"Empey, R.",UU,9'275,30.1,,+,6.9
, ,"Long, N.R. Ms.",APNI,3'746,12.2,,-,3.7
, ,"Devenny, D.M. Ms.",SF,1'029,3.3,*,-,0
, ,"Muldoon, M. Ms.",SDLP,844,2.7,*,+,0.3
, ,"Greer, A.J.",Con,434,1.4,*,-,0.8
, ,"Bell, J.",WP,179,0.6,*,, 
, ,"Gilby, L.J. Ms.",Vote,172,0.6,*,, 
, , , ,-----,---,, , 
,, , ,5'877,19.1,, , 
2001: DUP,, , , , , , , 
Belfast North [44],58.1,"Dodds, N.A.*",DUP,13'935,45.6,,+,4.8
52'535, ,"Kelly, G.",SF,8'747,28.6,,+,3.4
, ,"Maginness, A.",SDLP,4'950,16.2,,-,4.8
, ,"Cobain, F.",UU,2'154,7.1,,-,4.9
, ,"Hawkins, M. Ms.",APNI,438,1.4,*,,
, ,"Delaney, M.E. Ms.",WP,165,0.5,*,, 
, ,"Gilby, L.J. Ms.",Vote,151,0.5,*,, 
, , , ,-----,---,, , 
,, , ,5'188,17,, , 
2001: DUP,, , , , , , , 
Belfast South [45],61.3,"McDonnell, A.",SDLP,10'339,32.3,,+,1.7
52'218, ,"Spratt, J.",DUP,9'104,28.4,, ,
, ,"McGimpsey, M.H.",UU,7'263,22.7,,-,22.1
, ,"Maskey, A.",SF,2'882,9,,+,1.4
, ,"Rice, G. Ms.",APNI,2'012,6.3,,+,0.9
, ,"Gilby, L.J. Ms.",Vote,235,0.7,*,, 
, ,"Lynn, P.J.",WP,193,0.6,*,, 
, , , ,-----,---,, , 
,, , ,1'235,3.9,, , 
2001: UU,, , , , , , , 
Belfast West [46],64.5,"Adams, G.*",SF,24'348,70.5,,+,4.4
53'536, ,"Attwood, A.",SDLP,5'033,14.6,,-,4.4
, ,"Dodds, D. Ms.",DUP,3'652,10.6,,+,4.1
, ,"McGimpsey, C.D.",UU,779,2.3,*,-,3.9
, ,"Lowry, J.",WP,432,1.3,*,, 
, ,"Gilby, L.J. Ms.",Vote,154,0.4,*,, 
, ,"Kennedy, L.",Ind,147,0.4,*,, 
, , , ,-----,---,, , 
,, , ,19'315,55.9,, , 
2001: SF,, , , , , , , 
"Berwickshire Roxburgh and Selkirk [47]",64.1,"Moore, M.K.*",LD,18'993,41.8,,-,4.9
70'855, ,"Lamont, J.R.",Con,13'092,28.8,,+,6.9
, ,"Held, S.M.A.",Lab,7'206,15.9,,-,1
, ,"Orr, A. Ms.",SNP,3'885,8.6,,-,2.8
, ,"Hein, J.",Lib,916,2,*,, 
, ,"McIver, G.A.",SSP,695,1.5,*,+,0
, ,"Neilson, P.T.",UKIP,601,1.3,*,,
, , , ,-----,---,, , 
,, , ,5'901,13,, , 
2001: LD,, , , , , , , 
Berwick-upon-Tweed [48],63.6,"Beith, A.J.*",LD,19'052,52.8,,+,1.4
56'722, ,"Elliott, G.M.",Con,10'420,28.9,,+,0.8
, ,"Reynolds, G.D.",Lab,6'618,18.3,,+,0.6
, , , ,-----,---,, , 
,, , ,8'632,23.9,, , 
2001: LD,, , , , , , , 
Bethnal Green and Bow [49],53.3,"Galloway, G.*",Resp,15'801,35.9,, ,
82'599, ,"King, O.T. Ms.*",Lab,14'978,34,,-,16.4
, ,"Faruk, S.B.",Con,6'244,14.2,,-,10.1
, ,"Dulu, S.N.I.",LD,4'928,11.2,,-,4.3
, ,"Foster, J.P.W.",Grn,1'950,4.4,*,+,0.1
, ,"Etefia, E.",Ind,68,0.2,*,, 
, ,"Pugh, C. Ms.",,38,0.1,*,, 
, , , ,-----,---,, , 
,, , ,823,1.9,, , 
2001: Lab,, , , , , , , 
Beverley and Holderness [50],65.3,"Stuart, G.C.",Con,20'435,40.7,,-,0.6
76'868, ,"McManus, G.",Lab,17'854,35.6,,-,4.1
, ,"Willie, B.S.",LD,9'578,19.1,,+,3.2
, ,"Marriott, O.J.D.",UKIP,2'336,4.7,*,+,1.5
, , , ,-----,---,, , 
,, , ,2'581,5.1,, , 
2001: Con,, , , , , , , 
Bexhill and Battle [51],67.4,"Barker, G.L.G.*",Con,24'629,52.6,,+,4.5
69'450, ,"Varrall, M.E. Ms.",LD,11'180,23.9,,-,0.8
, ,"Jones, M.G.",Lab,8'457,18.1,,-,1.4
, ,"Smith, A.B.F.",UKIP,2'568,5.5,,-,2.3
, , , ,-----,---,, , 
,, , ,13'449,28.7,, , 
2001: Con,, , , , , , , 
Bexleyheath and Crayford [52],65.5,"Evennett, D.A.",Con,19'722,46.3,,+,6.4
65'023, ,"Beard, C.N.*",Lab,15'171,35.6,,-,7.9
, ,"Raval, D.",LD,5'144,12.1,,+,1
, ,"Dunford, J.W.",UKIP,1'302,3.1,*,+,1.1
, ,"Lee, J.",BNP,1'241,2.9,*,-,0.6
, , , ,-----,---,, , 
,, , ,4'551,10.7,, , 
2001: Lab,, , , , , , , 
Billericay [53],61.9,"Baron, J.C.*",Con,25'487,52.2,,+,4.8
78'926, ,"Dodds, A.J. Ms.",Lab,14'281,29.2,,-,7.2
, ,"Hibbs, M.A.",LD,6'471,13.2,,-,0.6
, ,"Robinson, B.",BNP,1'435,2.9,*,,
, ,"Callaghan, S.",UKIP,1'184,2.4,*,+,0.1
,,,,,,,,
, , , ,-----,---,, , 
,, , ,11'206,22.9,, , 
2001: Con,, , , , , , , 
Birkenhead [54],48.7,"Field, F.*",Lab,18'059,65,,-,5.5
57'097, ,"Kelly, S.E.",LD,5'125,18.4,,+,5.6
, ,"Morton, H.L.",Con,4'602,16.6,,-,0.1
, , , ,-----,---,, , 
,, , ,12'934,46.5,, , 
2001: Lab,, , , , , , , 
Birmingham Edgbaston [55],58,"Stuart, G.G. Ms.*",Lab,16'465,43.8,,-,5.3
64'859, ,"Alden, D.C. Ms.",Con,14'116,37.5,,+,0.9
, ,"Dixon, M.D.",LD,5'185,13.8,,+,1.8
, ,"Beck, P.C.",Grn,1'116,3,*,,
, ,"White, S.",UKIP,749,2,*,,
, , , ,-----,---,, , 
,, , ,2'349,6.2,, , 
2001: Lab,, , , , , , , 
Birmingham Erdington [56],48.9,"Simon, S.L.*",Lab,16'810,53,,-,3.8
64'939, ,"Elvidge, V.T. Ms.",Con,7'235,22.8,,-,1.4
, ,"Evans, J.",LD,5'027,15.8,,+,4.1
, ,"Ebanks, S.E. Ms.",BNP,1'512,4.8,*,,
, ,"Hepburn, R.L.",UKIP,746,2.3,*,+,0.6
, ,"Williams, T.",NF,416,1.3,*,, 
, , , ,-----,---,, , 
,, , ,9'575,30.2,, , 
2001: Lab,, , , , , , , 
Birmingham Hall Green [57],60.4,"McCabe, S.J.*",Lab,16'304,47.2,,-,7.3
57'200, ,"Hughes, E.",Con,10'590,30.7,,-,3.8
, ,"Harmer, R.K.",LD,6'682,19.3,,+,10.5
, ,"Melhuish, D.J.",UKIP,960,2.8,*,+,0.6
, , , ,-----,---,, , 
,, , ,5'714,16.5,, , 
2001: Lab,, , , , , , , 
