UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
Blyth Valley,,Ronnie Campbell,Labour,27276,64.21%,61761,17736,68.78%,Labour Hold,02/05/97 12:00
,,Andrew Lamb,Liberal Democrat,9540,22.46%,,,,,
,,Barbara Musgrave,Conservative,5666,13.34%,,,,,
,,,,,,,,,,
Bognor Regis and Littlehampton,,Nick Gibb,Conservative,20537,44.22%,66480,7321,69.86%,Conservative Hold,02/05/97 03:04
,,Roger Nash,Labour,13216,28.46%,,,,,
,,James Walsh,Liberal Democrat,11153,24.01%,,,,,
,,G Stride,United Kingdom Independence,1537,3.31%,,,,,
,,,,,,,,,,
Bolsover,,Dennis Skinner,Labour,35073,73.97%,66476,27149,71.32%,Labour Hold,02/05/97 04:11
,,Richard Harwood,Conservative,7924,16.71%,,,,,
,,Ian Cox,Liberal Democrat,4417,9.32%,,,,,
,,,,,,,,,,
Bolton North East,,David Crausby,Labour,27621,56.13%,67930,12669,72.44%,Labour Gain,02/05/97 01:13
,,Robert Wilson,Conservative,14952,30.39%,,,,,
,,Edmund Critchley,Liberal Democrat,4862,9.88%,,,,,
,,David Staniforth,Referendum,1096,2.23%,,,,,
,,William Kelly,Socialist Labour,676,1.37%,,,,,
,,,,,,,,,,
Bolton South East,,Brian Iddon,Labour,29856,68.87%,66459,21311,65.23%,Labour Hold,02/05/97 00:57
,,Paul Carter,Conservative,8545,19.71%,,,,,
,,Frank Harasiwka,Liberal Democrat,3805,8.78%,,,,,
,,Bill Pickering,Referendum,973,2.24%,,,,,
,,Lewis Walch,Natural Law,170,0.39%,,,,,
,,,,,,,,,,
Bolton West,,Ruth Kelly,Labour,24342,49.52%,63535,7072,77.37%,Labour Gain,02/05/97 01:38
,,Tom Sackville,Conservative,17270,35.13%,,,,,
,,Barbara Ronson,Liberal Democrat,5309,10.80%,,,,,
,,Doris Kelly,Socialist Labour,1374,2.79%,,,,,
,,Glenda Frankl-Slater,Referendum,865,1.76%,,,,,
,,,,,,,,,,
Bootle,,Joe Benton,Labour,31668,82.85%,57284,28421,66.73%,Labour Hold,02/05/97 00:19
,,Rupert Mathews,Conservative,3247,8.49%,,,,,
,,Kiron Reid,Liberal Democrat,2191,5.73%,,,,,
,,James Elliott,Referendum,571,1.49%,,,,,
,,Peter Glover,Socialist,420,1.10%,,,,,
,,Simon Cohen,Natural Law,126,0.33%,,,,,
,,,,,,,,,,
Boston and Skegness,,Richard Body,Conservative,19750,42.41%,67623,647,68.87%,Conservative Hold,02/05/97 05:18
,,Phil McCauley,Labour,19103,41.02%,,,,,
,,Jim Dodsworth,Liberal Democrat,7721,16.58%,,,,,
,,,,,,,,,,
Bosworth,,David Tredinnick,Conservative,21189,40.63%,68113,1027,76.57%,Conservative Hold,02/05/97 03:29
,,Andrew Furlong,Labour,20162,38.66%,,,,,
,,Jonathan Ellis,Liberal Democrat,9281,17.80%,,,,,
,,Scott Halborg,Referendum,1521,2.92%,,,,,
,,,,,,,,,,
Bournemouth East,,David A Atkinson,Conservative,17997,41.44%,61862,4342,70.21%,Conservative Hold,02/05/97 01:29
,,Douglas Eyre,Liberal Democrat,13655,31.44%,,,,,
,,Jessica Stevens,Labour,9181,21.14%,,,,,
,,Alan Musgrave-Scott,Referendum,1808,4.16%,,,,,
,,Kenneth Benney,United Kingdom Independence,791,1.82%,,,,,
,,,,,,,,,,
Bournemouth West,,John Butterfill,Conservative,17115,41.67%,62028,5710,66.22%,Conservative Hold,02/05/97 01:42
,,Janet Dover,Liberal Democrat,11405,27.77%,,,,,
,,Dennis Gritt,Labour,10093,24.57%,,,,,
,,Ronald Mills,Referendum,1910,4.65%,,,,,
,,Linda Tooley,United Kingdom Independence,281,0.68%,,,,,
,,John Morse,British National,165,0.40%,,,,,
,,A Springham,Natural Law,103,0.25%,,,,,
,,,,,,,,,,
Bracknell,,Andrew Mackay,Conservative,27983,47.36%,79292,10387,74.52%,Conservative Hold,02/05/97 04:14
,,Anne Snelgrove,Labour,17596,29.78%,,,,,
,,Alan Hilliar,Liberal Democrat,9122,15.44%,,,,,
,,John Tompkins,Independent,1909,3.23%,,,,,
,,Warwick Cairns,Referendum,1636,2.77%,,,,,
,,L Boxall,United Kingdom Independence,569,0.96%,,,,,
,,Dominica Roberts,People's Labour,276,0.47%,,,,,
,,,,,,,,,,
Bradford North,,Terry Rooney,Labour,23493,56.08%,66228,12770,63.26%,Labour Hold,02/05/97 01:14
,,Rasjid Skinner,Conservative,10723,25.59%,,,,,
,,Terry Browne,Liberal Democrat,6083,14.52%,,,,,
,,Harry Wheatley,Referendum,1227,2.93%,,,,,
,,Wild Willy Beckett,Monster Raving Loony,369,0.88%,,,,,
,,,,,,,,,,
Bradford South,,Gerry Sutcliffe,Labour,25558,56.72%,68391,12936,65.88%,Labour Hold,02/05/97 01:06
,,Ann Hawkesworth,Conservative,12622,28.01%,,,,,
,,Alexander Wilson-Fletcher,Liberal Democrat,5093,11.30%,,,,,
,,Marilyn Kershaw,Referendum,1785,3.96%,,,,,
,,,,,,,,,,
Bradford West,,Marsha Singh,Labour,18932,41.55%,71961,3877,63.32%,Labour Hold,02/05/97 01:58
,,Mohammed Riaz,Conservative,15055,33.04%,,,,,
,,Helen Wright,Liberal Democrat,6737,14.78%,,,,,
,,Abdul Khan,Socialist Labour,1551,3.40%,,,,,
,,Christopher Royston,Referendum,1348,2.96%,,,,,
,,John Robinson,Green,861,1.89%,,,,,
,,Gary Osborn,British National,839,1.84%,,,,,
,,Sajjad Shah,Socialist,245,0.54%,,,,,
,,,,,,,,,,
Braintree,,Alan Hurst,Labour,23729,42.70%,72772,1451,76.37%,Labour Gain,02/05/97 04:31
,,Anthony Newton,Conservative,22278,40.09%,,,,,
,,Trevor Ellis,Liberal Democrat,6418,11.55%,,,,,
,,Nicholas Westcott,Referendum,2165,3.90%,,,,,
,,James Abbott,Green,712,1.28%,,,,,
,,Michael Nolan,Independent,274,0.49%,,,,,
,,,,,,,,,,
Brecon and Radnorshire,,Richard Livsey,Liberal Democrat,17516,40.85%,52142,5097,82.24%,Liberal Democrat Gain,02/05/97 12:18
,,Jonathan Evans,Conservative,12419,28.96%,,,,,
,,Christopher Mann,Labour,11424,26.64%,,,,,
,,Liz Phillips,Referendum,900,2.10%,,,,,
,,Steven Cornelius,Plaid Cymru,622,1.45%,,,,,
,,,,,,,,,,
Brent East,,Ken R Livingstone,Labour,23748,67.33%,53548,15882,65.87%,Labour Hold,02/05/97 03:16
,,Mark Francois,Conservative,7866,22.30%,,,,,
,,Ian Hunter,Liberal Democrat,2751,7.80%,,,,,
,,Stanley Keable,Socialist Labour,466,1.32%,,,,,
,,Andrew Shanks,People's Labour,218,0.62%,,,,,
,,Claire Warrilow,Rainbow Dream Ticket,120,0.34%,,,,,
,,Dean Jenkins,Natural Law,103,0.29%,,,,,
,,,,,,,,,,
Brent North,,Barry Gardiner,Labour,19343,50.67%,54149,4019,70.50%,Labour Gain,02/05/97 02:32
,,Rhodes Boyson,Conservative,15324,40.14%,,,,,
,,Paul Lorber,Liberal Democrat,3104,8.13%,,,,,
,,Tony Davids,Natural Law,204,0.53%,,,,,
,,George Clark,Rainbow Dream Ticket,199,0.52%,,,,,
,,,,,,,,,,
Brent South,,Paul Y Boateng,Labour,25180,72.99%,53505,19691,64.48%,Labour Hold,02/05/97 03:27
,,Stewart Jackson,Conservative,5489,15.91%,,,,,
,,Julian Brazil,Liberal Democrat,2670,7.74%,,,,,
,,Janet Phythian,Referendum,497,1.44%,,,,,
,,David Edler,Green,389,1.13%,,,,,
,,Christopher Howard,Rainbow Dream Ticket,175,0.51%,,,,,
,,Anjali Mahaldar,Natural Law,98,0.28%,,,,,
,,,,,,,,,,
Brentford and Isleworth,,Ann Keen,Labour,32249,57.45%,79058,14424,71.00%,Labour Gain,02/05/97 03:25
,,Nirj Deva,Conservative,17825,31.75%,,,,,
,,Gareth Hartwell,Liberal Democrat,4613,8.22%,,,,,
,,John Bradley,Green,687,1.22%,,,,,
,,B Simmerson,United Kingdom Independence,614,1.09%,,,,,
,,Morris Ahmed,Natural Law,147,0.26%,,,,,
,,,,,,,,,,
Brentwood and Ongar,,Eric Pickles,Conservative,23031,45.40%,66005,9690,76.85%,Conservative Hold,02/05/97 02:03
,,Elizabeth Bottomley,Liberal Democrat,13341,26.30%,,,,,
,,Marc Young,Labour,11231,22.14%,,,,,
,,Angela Kilmartin,Referendum,2658,5.24%,,,,,
,,David Mills,United Kingdom Independence,465,0.92%,,,,,
,,,,,,,,,,
Bridgend,,Win Griffiths,Labour,25115,58.05%,59721,15248,72.44%,Labour Hold,02/05/97 02:00
,,David Davies,Conservative,9867,22.81%,,,,,
,,Andrew McKinlay,Liberal Democrat,4968,11.48%,,,,,
,,Tudor Greaves,Referendum,1662,3.84%,,,,,
,,Dennis Watkins,Plaid Cymru,1649,3.81%,,,,,
,,,,,,,,,,
Bridgwater,,Tom King,Conservative,20174,36.93%,73038,1796,74.79%,Conservative Hold,02/05/97 03:09
,,Michael Hoban,Liberal Democrat,18378,33.65%,,,,,
,,Roger Lavers,Labour,13519,24.75%,,,,,
,,Fran Evens,Referendum,2551,4.67%,,,,,
,,,,,,,,,,
Brigg and Goole,,Ian Cawsey,Labour,23493,50.20%,63648,6389,73.53%,Labour Gain,02/05/97 03:06
,,Donald Stewart,Conservative,17104,36.55%,,,,,
,,Mary-Rose Hardy,Liberal Democrat,4692,10.03%,,,,,
,,Derek Rigby,Referendum,1513,3.23%,,,,,
,,,,,,,,,,
Brighton Kemptown,,Desmond Turner,Labour,21479,46.56%,65147,3534,70.81%,Labour Gain,02/05/97 03:00
,,Andrew Bowden,Conservative,17945,38.90%,,,,,
,,Clive Gray,Liberal Democrat,4478,9.71%,,,,,
,,David Inman,Referendum,1526,3.31%,,,,,
,,Hannah Williams,Socialist Labour,316,0.68%,,,,,
,,Jeremy Bowler,Natural Law,172,0.37%,,,,,
,,Lorrie Newman,Monster Raving Loony,123,0.27%,,,,,
,,Richard Darlow,Rainbow Dream Ticket,93,0.20%,,,,,
,,,,,,,,,,
Brighton Pavilion,,David Lepper,Labour Co-op,26737,54.62%,66431,13181,73.69%,Labour/Co-operative Gain,02/05/97 02:41
,,Derek Spencer,Conservative,13556,27.69%,,,,,
,,Ken Blanshard,Liberal Democrat,4644,9.49%,,,,,
,,Peter Stocken,Referendum,1304,2.66%,,,,,
,,Peter West,Green,1249,2.55%,,,,,
,,Richard Huggett,Independent,1098,2.24%,,,,,
,,Frank Stevens,United Kingdom Independence,179,0.37%,,,,,
,,Bob Dobbs,Independent,125,0.26%,,,,,
,,Alan Card,Rainbow Dream Ticket,59,0.12%,,,,,
,,,,,,,,,,
Bristol East,,Jean Corston,Labour,27418,56.88%,68990,16159,69.87%,Labour Hold,02/05/97 03:23
,,Eddie Vaizey,Conservative,11259,23.36%,,,,,
,,Peter Tyzack,Liberal Democrat,7121,14.77%,,,,,
,,Gerry Philp,Referendum,1479,3.07%,,,,,
,,Paul Williams,Socialist Labour,766,1.59%,,,,,
,,John McLaggan,Natural Law,158,0.33%,,,,,
,,,,,,,,,,
Bristol North West,,Douglas Naysmith,Labour Co-op,27575,49.91%,75009,11382,73.65%,Labour/Co-operative Gain,02/05/97 02:51
,,Michael C Stern,Conservative,16193,29.31%,,,,,
,,Ian Parry,Liberal Democrat,7263,13.15%,,,,,
,,Charles Horton,Independent,1718,3.11%,,,,,
,,John Quintanilla,Referendum,1609,2.91%,,,,,
,,Giles Shorter,Socialist Labour,482,0.87%,,,,,
,,S Parnell,British National,265,0.48%,,,,,
,,Thomas Leighton,Natural Law,140,0.25%,,,,,
,,,,,,,,,,
Bristol South,,Dawn Primarolo,Labour,29890,59.95%,72393,19328,68.87%,Labour Hold,02/05/97 03:53
,,Michael Roe,Conservative,10562,21.18%,,,,,
,,Stephen Williams,Liberal Democrat,6691,13.42%,,,,,
,,Derek Guy,Referendum,1486,2.98%,,,,,
,,John Boxall,Green,722,1.45%,,,,,
,,Ian Marshall,Socialist,355,0.71%,,,,,
,,Louis Taylor,Independent,153,0.31%,,,,,
,,,,,,,,,,
Bristol West,,Valerie Davey,Labour,22068,35.23%,84870,1493,73.81%,Labour Gain,02/05/97 03:15
,,William Waldegrave,Conservative,20575,32.85%,,,,,
,,Charles Boney,Liberal Democrat,17551,28.02%,,,,,
,,Margot Beauchamp,Referendum,1304,2.08%,,,,,
,,Justin Quinnell,Green,852,1.36%,,,,,
,,Roy Nurse,Socialist Labour,244,0.39%,,,,,
,,Jai Brierley,Natural Law,47,0.08%,,,,,
,,,,,,,,,,
Bromley and Chislehurst,,Eric Forth,Conservative,24428,46.32%,71104,11118,74.17%,Conservative Hold,02/05/97 02:23
,,Rob Yeldham,Labour,13310,25.24%,,,,,
,,Paul Booth,Liberal Democrat,12530,23.76%,,,,,
,,R Bryant,United Kingdom Independence,1176,2.23%,,,,,
,,Frances Speed,Green,640,1.21%,,,,,
,,Michael Stoneman,National Front,369,0.70%,,,,,
,,Gabriel Aitman,Liberal,285,0.54%,,,,,
,,,,,,,,,,
Bromsgrove,,Julie Kirkbride,Conservative,24620,47.11%,67744,4845,77.14%,Conservative Hold,02/05/97 02:50
,,Peter McDonald,Labour,19775,37.84%,,,,,
,,Jennette Davy,Liberal Democrat,6200,11.86%,,,,,
,,Diana Winsor,Referendum,1411,2.70%,,,,,
,,Grace Wetton,United Kingdom Independence,251,0.48%,,,,,
,,,,,,,,,,
Broxbourne,,Marion Roe,Conservative,22952,48.86%,66720,6653,70.41%,Conservative Hold,02/05/97 02:14
,,Ben Coleman,Labour,16299,34.70%,,,,,
,,Julia Davies,Liberal Democrat,5310,11.30%,,,,,
,,David Millward,Referendum,1633,3.48%,,,,,
,,David Bruce,British National,610,1.30%,,,,,
,,Brent Cheetham,Independent,172,0.37%,,,,,
,,,,,,,,,,
Broxtowe,,Nick Palmer,Labour,27343,47.03%,74144,5575,78.41%,Labour Gain,02/05/97 02:27
,,Jim Lester,Conservative,21768,37.44%,,,,,
,,Terence Miller,Liberal Democrat,6934,11.93%,,,,,
,,Roy Tucker,Referendum,2092,3.60%,,,,,
,,,,,,,,,,
Buckingham,,John Bercow,Conservative,24594,49.79%,62945,12386,78.48%,Conservative Hold,02/05/97 05:47
,,Robert Lehmann,Labour,12208,24.71%,,,,,
,,Neil Stuart,Liberal Democrat,12175,24.65%,,,,,
,,Geoffrey Clements,Natural Law,421,0.85%,,,,,
,,,,,,,,,,
Burnley,,Peter Pike,Labour,26210,57.93%,67582,17062,66.95%,Labour Hold,02/05/97 02:26
,,Bill Wiggin,Conservative,9148,20.22%,,,,,
,,Gordon Birtwistle,Liberal Democrat,7877,17.41%,,,,,
,,Richard Oakley,Referendum,2010,4.44%,,,,,
,,,,,,,,,,
Burton,,Janet Dean,Labour,27810,51.02%,72601,6330,75.08%,Labour Gain,02/05/97 03:21
,,Ivan Lawrence,Conservative,21480,39.40%,,,,,
,,David Fletcher,Liberal Democrat,4617,8.47%,,,,,
,,Keith Sharp,National Democratic Resistance,604,1.11%,,,,,
,,,,,,,,,,
Bury North,,David Chaytor,Labour,28523,51.81%,70515,7866,78.07%,Labour Gain,02/05/97 02:04
,,Alistair Burt,Conservative,20657,37.52%,,,,,
,,Neville Kenyon,Liberal Democrat,4536,8.24%,,,,,
,,Richard Hallewell,Referendum,1337,2.43%,,,,,
,,,,,,,,,,
Bury South,,Ivan Lewis,Labour,28658,56.89%,66568,12381,75.68%,Labour Gain,02/05/97 02:43
,,David Sumberg,Conservative,16277,32.31%,,,,,
,,Victor DAlbert,Liberal Democrat,4227,8.39%,,,,,
,,Bryan Slater,Referendum,1216,2.41%,,,,,
,,,,,,,,,,
Bury St. Edmunds,,David Ruffley,Conservative,21290,38.34%,74017,368,75.02%,Conservative Hold,02/05/97 04:41
,,Mark Ereira,Labour,20922,37.68%,,,,,
,,Dave Cooper,Liberal Democrat,10102,18.19%,,,,,
,,Ian McWhirter,Referendum,2939,5.29%,,,,,
,,Joanna Lillis,Natural Law,272,0.49%,,,,,
,,,,,,,,,,
Caernarfon,,Dafydd Wigley,Plaid Cymru,17616,51.05%,46815,7449,73.72%,Plaid Cymru Hold,02/05/97 01:43
,,Eifion Williams,Labour,10167,29.46%,,,,,
,,Elwyn Williams,Conservative,4230,12.26%,,,,,
,,Mary Macqueen,Liberal Democrat,1686,4.89%,,,,,
,,Clive Collins,Referendum,811,2.35%,,,,,
,,,,,,,,,,
Caerphilly,,Ron Davies,Labour,30697,67.81%,64621,25839,70.05%,Labour Hold,02/05/97 01:46
,,Rhodri Harris,Conservative,4858,10.73%,,,,,
,,Lindsay Whittle,Plaid Cymru,4383,9.68%,,,,,
,,Tony Ferguson,Liberal Democrat,3724,8.23%,,,,,
,,Mark Morgan,Referendum,1337,2.95%,,,,,
,,Catherine Williams,People's Labour,270,0.60%,,,,,
,,,,,,,,,,
"Caithness, Sutherland and Easter Ross",,Robert MacLennan,Liberal Democrat,10381,35.59%,41566,2259,70.18%,Liberal Democrat Hold,02/05/97 03:52
,,James Hendry,Labour,8122,27.84%,,,,,
,,Euan Harper,Scottish National,6710,23.00%,,,,,
,,Tom Miers,Conservative,3148,10.79%,,,,,
,,Carolyn Ryder,Referendum,369,1.26%,,,,,
,,John Martin,Green,230,0.79%,,,,,
,,Martin Carr,United Kingdom Independence,212,0.73%,,,,,
,,,,,,,,,,
Calder Valley,,Christine McCafferty,Labour,26050,46.13%,74901,6255,75.39%,Labour Gain,02/05/97 02:54
,,Donald Thompson,Conservative,19795,35.06%,,,,,
,,Stephen Pearson,Liberal Democrat,8322,14.74%,,,,,
,,Anthony Mellor,Referendum,1380,2.44%,,,,,
,,Vivienne Smith,Green,488,0.86%,,,,,
,,Christian Jackson,British National,431,0.76%,,,,,
,,,,,,,,,,
Camberwell and Peckham,,Harriet Harman,Labour,19734,69.55%,50214,16451,56.51%,Labour Hold,02/05/97 02:26
,,Kim Humphreys,Conservative,3283,11.57%,,,,,
,,Nigel Williams,Liberal Democrat,3198,11.27%,,,,,
,,Nicholas China,Referendum,692,2.44%,,,,,
,,Angela Ruddock,Socialist Labour,685,2.41%,,,,,
,,Gerry Williams,Liberal,443,1.56%,,,,,
,,Joan Barker,Socialist,233,0.82%,,,,,
,,Christopher Eames,Workers' Revolutionary,106,0.37%,,,,,
,,,,,,,,,,
Cambridge,,Anne Campbell,Labour,27436,53.44%,71669,14137,71.63%,Labour Hold,02/05/97 05:10
,,David Platt,Conservative,13299,25.90%,,,,,
,,Geoffrey Heathcock,Liberal Democrat,8287,16.14%,,,,,
,,William Burrows,Referendum,1262,2.46%,,,,,
,,Margaret Wright,Green,654,1.27%,,,,,
,,Anna Johnstone,People's Labour,191,0.37%,,,,,
,,Raymond Athow,Workers' Revolutionary,107,0.21%,,,,,
,,Patrice Gladwin,Natural Law,103,0.20%,,,,,
,,,,,,,,,,
Cambridgeshire North East,,Malcolm Moss,Conservative,23855,43.04%,76056,5101,72.87%,Conservative Hold,02/05/97 03:46
,,Virginia Bucknor,Labour,18754,33.84%,,,,,
,,Andrew Nash,Liberal Democrat,9070,16.36%,,,,,
,,Michael Bacon,Referendum,2636,4.76%,,,,,
,,Chris Bennett,Socialist Labour,851,1.54%,,,,,
,,Luke Leighton,Natural Law,259,0.47%,,,,,
,,,,,,,,,,
Cambridgeshire North West,,Brian Mawhinney,Conservative,23488,48.11%,65791,7754,74.20%,Conservative Gain,02/05/97 04:29
,,Lee Steptoe,Labour,15734,32.23%,,,,,
,,Barbara McCoy,Liberal Democrat,7388,15.13%,,,,,
,,Sandy Watt,Referendum,1939,3.97%,,,,,
,,Bill Wyatt,United Kingdom Independence,269,0.55%,,,,,
,,,,,,,,,,
Cambridgeshire South,,Andrew Lansley,Conservative,22572,42.05%,69850,8712,76.85%,Conservative Hold,02/05/97 03:22
,,James Quinlan,Liberal Democrat,13860,25.82%,,,,,
,,Tony Gray,Labour,13485,25.12%,,,,,
,,Robin Page,Referendum,3300,6.15%,,,,,
,,DA Norman,United Kingdom Independence,298,0.56%,,,,,
,,Francis C Chalmers,Natural Law,168,0.31%,,,,,
,,,,,,,,,,
Cambridgeshire South East,,James Paice,Conservative,24397,42.95%,75666,9349,75.08%,Conservative Hold,02/05/97 05:38
,,Rex Collinson,Labour,15048,26.49%,,,,,
,,Sal Brinton,Liberal Democrat,14246,25.08%,,,,,
,,John Howlett,Referendum,2838,5.00%,,,,,
,,Karl Lam,Independent,167,0.29%,,,,,
,,Peter While,Natural Law,111,0.20%,,,,,
,,,,,,,,,,
Cannock Chase,,Anthony W Wright,Labour,28705,54.82%,72362,14478,72.37%,Labour Hold,02/05/97 03:41
,,John Backhouse,Conservative,14227,27.17%,,,,,
,,Richard Kirby,Liberal Democrat,4537,8.66%,,,,,
,,Peter Froggatt,Referendum,1663,3.18%,,,,,
,,William Hurley,Independent,1615,3.08%,,,,,
,,Michael Conroy,Socialist Labour,1120,2.14%,,,,,
,,Melvyn Hartshorn,Monster Raving Loony,499,0.95%,,,,,
,,,,,,,,,,
Canterbury,,Julian Brazier,Conservative,20913,38.65%,74548,3964,72.58%,Conservative Hold,02/05/97 02:46
,,Cheryl Hall,Labour,16949,31.32%,,,,,
,,Martin Vye,Liberal Democrat,12854,23.76%,,,,,
,,James Osborne,Referendum,2460,4.55%,,,,,
,,Geoff Meaden,Green,588,1.09%,,,,,
,,John Moore,United Kingdom Independence,281,0.52%,,,,,
,,Andrew Pringle,Natural Law,64,0.12%,,,,,
,,,,,,,,,,
Cardiff Central,,Jon Owen Jones,Labour Co-op,18464,43.70%,60354,7923,70.01%,Labour/Co-operative Hold,02/05/97 02:01
,,Jenny Randerson,Liberal Democrat,10541,24.95%,,,,,
,,David Melding,Conservative,8470,20.05%,,,,,
,,Terry Burns,Socialist Labour,2230,5.28%,,,,,
,,Wayne Vernon,Plaid Cymru,1504,3.56%,,,,,
,,Nick Lloyd,Referendum,760,1.80%,,,,,
,,Craig James,Monster Raving Loony,204,0.48%,,,,,
,,Anthony Hobbs,Natural Law,80,0.19%,,,,,
,,,,,,,,,,
Cardiff North,,Julie Morgan,Labour,24460,50.45%,60430,8126,80.24%,Labour Gain,02/05/97 02:20
,,Gwilym Jones,Conservative,16334,33.69%,,,,,
,,Robyn Rowland,Liberal Democrat,5294,10.92%,,,,,
,,Colin Palfrey,Plaid Cymru,1201,2.48%,,,,,
,,Edward Litchfield,Referendum,1199,2.47%,,,,,
,,,,,,,,,,
Cardiff South and Penarth,,Alun Michael,Labour Co-op,22647,53.39%,61838,13861,68.60%,Labour/Co-operative Hold,02/05/97 02:32
,,Caroline Roberts,Conservative,8786,20.71%,,,,,
,,Simon Wakefield,Liberal Democrat,3964,9.34%,,,,,
,,John Foreman,Independent,3942,9.29%,,,,,
,,David Haswell,Plaid Cymru,1356,3.20%,,,,,
,,Phillip Morgan,Referendum,1211,2.85%,,,,,
,,Mike Shepherd,Socialist,344,0.81%,,,,,
,,Barbara Caves,Natural Law,170,0.40%,,,,,
,,,,,,,,,,
Cardiff West,,Rhodri Morgan,Labour,24297,60.32%,58198,15628,69.21%,Labour Hold,02/05/97 02:12
,,Simon Hoare,Conservative,8669,21.52%,,,,,
,,Jacqui Gasson,Liberal Democrat,4366,10.84%,,,,,
,,Gwenillian Carr,Plaid Cymru,1949,4.84%,,,,,
,,Trefor Johns,Referendum,996,2.47%,,,,,
,,,,,,,,,,
Carlisle,,Eric Martlew,Labour,25031,57.40%,59917,12390,72.78%,Labour Hold,02/05/97 02:07
,,Richard Lawrence,Conservative,12641,28.99%,,,,,
,,Christopher Mayho,Liberal Democrat,4576,10.49%,,,,,
,,Angus Fraser,Referendum,1233,2.83%,,,,,
,,William Stevens,Natural Law,126,0.29%,,,,,
,,,,,,,,,,
Carmarthen East and Dinefwr,,Alan Williams,Labour,17907,42.91%,53079,3450,78.62%,Labour Hold,02/05/97 02:53
,,Rhodri Glyn Thomas,Plaid Cymru,14457,34.64%,,,,,
,,Edmund Hayward,Conservative,5022,12.03%,,,,,
,,Juliana Hughes,Liberal Democrat,3150,7.55%,,,,,
,,Ian Humphreys-Evans,Referendum,1196,2.87%,,,,,
,,,,,,,,,,
Carmarthen West and Pembrokeshire South,,Nick R Ainger,Labour,20956,49.15%,55724,9621,76.52%,Labour Gain,02/05/97 03:43
,,Owen Williams,Conservative,11335,26.58%,,,,,
,,Roy Llewellyn,Plaid Cymru,5402,12.67%,,,,,
,,Keith Evans,Liberal Democrat,3516,8.25%,,,,,
,,Joy Poirrier,Referendum,1432,3.36%,,,,,
,,,,,,,,,,
"Carrick, Cumnock and Doon Valley",,George Foulkes,Labour Co-op,29398,59.79%,65593,21062,74.96%,Labour/Co-operative Gain,02/05/97 02:03
,,Alaisdair Marshall,Conservative,8336,16.95%,,,,,
,,Christine Hutchison,Scottish National,8190,16.66%,,,,,
,,Derek Young,Liberal Democrat,2613,5.31%,,,,,
,,John Higgins,Referendum,634,1.29%,,,,,
,,,,,,,,,,
Carshalton and Wallington,,Thomas Brake,Liberal Democrat,18490,38.18%,66038,2267,73.33%,Liberal Democrat Gain,02/05/97 02:08
,,Nigel Forman,Conservative,16223,33.50%,,,,,
,,Andrew Theobald,Labour,11565,23.88%,,,,,
,,Julian Storey,Referendum,1289,2.66%,,,,,
,,Peter Hickson,Green,377,0.78%,,,,,
,,Gary Ritchie,British National,261,0.54%,,,,,
,,Leslie Povey,United Kingdom Independence,218,0.45%,,,,,
,,,,,,,,,,
Castle Point,,Christine Butler,Labour,20605,42.45%,67146,1143,72.30%,Labour Gain,02/05/97 03:14
,,Robert Spink,Conservative,19462,40.09%,,,,,
,,David Baker,Liberal Democrat,4477,9.22%,,,,,
,,Hugh Maulkin,Referendum,2700,5.56%,,,,,
,,Linda Kendall,Independent,1301,2.68%,,,,,
,,,,,,,,,,
Ceredigion Gogledd Penfro,,Cynog Dafis,Plaid Cymru,16728,41.63%,54378,6961,73.90%,Plaid Cymru Hold,02/05/97 02:14
,,Robert Harris,Labour,9767,24.30%,,,,,
,,Dai Davies,Liberal Democrat,6616,16.46%,,,,,
,,Felix Aubel,Conservative,5983,14.89%,,,,,
,,John Leaney,Referendum,1092,2.72%,,,,,
,,,,,,,,,,
Charnwood,,Stephen Dorrell,Conservative,26110,46.48%,72692,5900,77.28%,Conservative Gain,02/05/97 05:02
,,David Knaggs,Labour,20210,35.98%,,,,,
,,Roger Wilson,Liberal Democrat,7224,12.86%,,,,,
,,Hugh Meechan,Referendum,2104,3.75%,,,,,
,,Matthew Palmer,British National,525,0.93%,,,,,
,,,,,,,,,,
Chatham and Aylesford,,Jonathan Shaw,Labour,21191,43.11%,69172,2790,71.07%,Labour Gain,02/05/97 04:23
,,Richard Knox-Johnston,Conservative,18401,37.43%,,,,,
,,Robin Murray,Liberal Democrat,7389,15.03%,,,,,
,,Keith Riddle,Referendum,1538,3.13%,,,,,
,,Alan Harding,United Kingdom Independence,493,1.00%,,,,,
,,Timothy Martel,Natural Law,149,0.30%,,,,,
,,,,,,,,,,
Cheadle,,Stephen Day,Conservative,22944,43.73%,67627,3189,77.58%,Conservative Hold,02/05/97 01:30
,,Patsy Calton,Liberal Democrat,19755,37.66%,,,,,
,,Paul Diggett,Labour,8253,15.73%,,,,,
,,Paul Brook,Referendum,1511,2.88%,,,,,
,,,,,,,,,,
Chelmsford,,Simon Burns,Conservative,23781,40.60%,76086,6691,76.99%,Conservative Hold,02/05/97 04:40
,,Martin Bracken,Liberal Democrat,17090,29.18%,,,,,
,,Roy K Chad,Labour,15436,26.35%,,,,,
,,Terry Smith,Referendum,1536,2.62%,,,,,
,,George Rumens,Green,411,0.70%,,,,,
,,Martin Levin,United Kingdom Independence,323,0.55%,,,,,
