UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Andrew Date,Labour,21402,40.49%,,,,,
,,Stephen Owen,Liberal Democrat,7559,14.30%,,,,,
,,Rosalind Hill,Referendum,1761,3.33%,,,,,
,,Thomas Wise,United Kingdom Independence,446,0.84%,,,,,
,,Alexander Carpentier,Natural Law,162,0.31%,,,,,
,,,,,,,,,,
Belfast East,,Peter Robinson,Democratic Unionist,16640,42.63%,61744,6754,63.21%,Democratic Unionist Hold,02/05/97 16:35
,,Reg Empey,Ulster Unionist,9886,25.33%,,,,,
,,Jim Hendron,Alliance,9288,23.80%,,,,,
,,Sarah Dines,Conservative,928,2.38%,,,,,
,,Dominic Corr,Sinn Féin,810,2.08%,,,,,
,,Patricia Lewsley,Social Democratic and Labour,629,1.61%,,,,,
,,Derek Dougan,Independent,541,1.39%,,,,,
,,Joseph Bell,Workers',237,0.61%,,,,,
,,David Collins,Natural Law,70,0.18%,,,,,
,,,,,,,,,,
Belfast North,,Cecil Walker,Ulster Unionist,21478,51.81%,64577,13024,64.19%,Ulster Unionist Hold,02/05/97 14:38
,,Alban Maginness,Social Democratic and Labour,8454,20.39%,,,,,
,,Gerry Kelly,Sinn Féin,8375,20.20%,,,,,
,,Tom Campbell,Alliance,2221,5.36%,,,,,
,,Peter Emerson,Green,539,1.30%,,,,,
,,Paul Treanor,Workers',297,0.72%,,,,,
,,Andrea Gribben,Natural Law,88,0.21%,,,,,
,,,,,,,,,,
Belfast South,,Martin Smyth,Ulster Unionist,14201,35.97%,63439,4600,62.24%,Ulster Unionist Hold,02/05/97 16:23
,,Alasdair McDonnell,Social Democratic and Labour,9601,24.32%,,,,,
,,David Ervine,Progressive Unionist,5687,14.40%,,,,,
,,Steve McBride,Alliance,5112,12.95%,,,,,
,,Sean Hayes,Sinn Féin,2019,5.11%,,,,,
,,Annie Campbell,Independent,1204,3.05%,,,,,
,,Myrtle Boal,Conservative,962,2.44%,,,,,
,,Niall Cusack,Independent,292,0.74%,,,,,
,,Patrick Lynn,Workers',286,0.72%,,,,,
,,James Anderson,Natural Law,120,0.30%,,,,,
,,,,,,,,,,
Belfast West,,Gerry Adams,Sinn Féin,25662,55.93%,61785,7909,74.27%,Sinn Féin Gain,02/05/97 14:11
,,Joe Hendron,Social Democratic and Labour,17753,38.69%,,,,,
,,Frederick Parkinson,Ulster Unionist,1556,3.39%,,,,,
,,John Lowry,Workers',721,1.57%,,,,,
,,Liam Kennedy,Independent,102,0.22%,,,,,
,,Mary Daly,Natural Law,91,0.20%,,,,,
,,,,,,,,,,
Berwick upon Tweed,,Alan Beith,Liberal Democrat,19007,45.47%,56428,8042,74.08%,Liberal Democrat Hold,02/05/97 11:16
,,Paul Brannen,Labour,10965,26.23%,,,,,
,,Nick Herbert,Conservative,10056,24.06%,,,,,
,,Ned Lambton,Referendum,1423,3.40%,,,,,
,,Ian Dodds,United Kingdom Independence,352,0.84%,,,,,
,,,,,,,,,,
Bethnal Green and Bow,,Oona King,Labour,20697,46.32%,73008,11285,61.20%,Labour Hold,02/05/97 04:26
,,Kabir Choudhury,Conservative,9412,21.06%,,,,,
,,Syed Nuru Islam,Liberal Democrat,5361,12.00%,,,,,
,,David King,British National,3350,7.50%,,,,,
,,Terry Milson,Liberal,2963,6.63%,,,,,
,,Sheref Osman,Independent,1117,2.50%,,,,,
,,Stephen Petter,Green,812,1.82%,,,,,
,,Muhammed Abdullah,Referendum,557,1.25%,,,,,
,,Abdul Hamid,Socialist Labour,413,0.92%,,,,,
,,,,,,,,,,
Beverley and Holderness,,James Cran,Conservative,21629,41.17%,71916,1211,73.06%,Conservative Hold,02/05/97 02:12
,,Norman O'Neill,Labour,20418,38.86%,,,,,
,,John Melling,Liberal Democrat,9689,18.44%,,,,,
,,David Barley,United Kingdom Independence,695,1.32%,,,,,
,,Stewart Withers,Natural Law,111,0.21%,,,,,
,,,,,,,,,,
Bexhill and Battle,,Charles Wardle,Conservative,23570,48.11%,65584,11100,74.70%,Conservative Hold,02/05/97 02:58
,,Kathryn Field,Liberal Democrat,12470,25.45%,,,,,
,,Robert Beckwith,Labour,8866,18.10%,,,,,
,,Vanessa Thompson,Referendum,3302,6.74%,,,,,
,,J Pankhurst,United Kingdom Independence,786,1.60%,,,,,
,,,,,,,,,,
Bexleyheath and Crayford,,Nigel Beard,Labour,21942,45.50%,63334,3415,76.14%,Labour Gain,02/05/97 03:00
,,David Evennett,Conservative,18527,38.42%,,,,,
,,Francoise Montford,Liberal Democrat,5391,11.18%,,,,,
,,Barrie Thomas,Referendum,1551,3.22%,,,,,
,,Pauline Smith,British National,429,0.89%,,,,,
,,W Jenner,United Kingdom Independence,383,0.79%,,,,,
,,,,,,,,,,
Billericay,,Teresa Gorman,Conservative,22033,39.76%,76550,1356,72.40%,Conservative Hold,02/05/97 04:14
,,Paul Richards,Labour,20677,37.31%,,,,,
,,Geoff Williams,Liberal Democrat,8763,15.81%,,,,,
,,Brian Hughes,Independent,3377,6.09%,,,,,
,,John Buchanan,People's Labour,570,1.03%,,,,,
,,,,,,,,,,
Birkenhead,,Frank Field,Labour,27825,70.76%,59782,21843,65.78%,Labour Hold,02/05/97 01:13
,,John Crosby,Conservative,5982,15.21%,,,,,
,,Roy Wood,Liberal Democrat,3548,9.02%,,,,,
,,Mick Cullen,Socialist Labour,1168,2.97%,,,,,
,,Richard Evans,Referendum,800,2.03%,,,,,
,,,,,,,,,,
Birmingham Edgbaston,,Gisela Stuart,Labour,23554,48.60%,70204,4842,69.03%,Labour Gain,02/05/97 00:20
,,Andrew Marshall,Conservative,18712,38.61%,,,,,
,,Jock Gallagher,Liberal Democrat,4691,9.68%,,,,,
,,Jonathan Oakton,Referendum,1065,2.20%,,,,,
,,Derek Campbell,British National,443,0.91%,,,,,
,,,,,,,,,,
Birmingham Erdington,,Robin Corbett,Labour,23764,58.81%,66380,12657,60.87%,Labour Hold,02/05/97 02:32
,,Anthony Tompkins,Conservative,11107,27.49%,,,,,
,,Ian Garrett,Liberal Democrat,4112,10.18%,,,,,
,,Geoff Cable,Referendum,1424,3.52%,,,,,
,,,,,,,,,,
Birmingham Hall Green,,Steve McCabe,Labour,22372,53.50%,58767,8420,71.16%,Labour Gain,02/05/97 00:45
,,Andrew Hargreaves,Conservative,13952,33.36%,,,,,
,,Alastair Dow,Liberal Democrat,4034,9.65%,,,,,
,,Paul Bennett,Referendum,1461,3.49%,,,,,
,,,,,,,,,,
Birmingham Hodge Hill,,Terry Davis,Labour,22398,65.59%,56066,14200,60.91%,Labour Hold,02/05/97 02:27
,,Ed Grant,Conservative,8198,24.01%,,,,,
,,Haydn Thomas,Liberal Democrat,2891,8.47%,,,,,
