General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"McHugh, K.",BNP,1'815,5.1,,+,0.4
, ,"Foy, M.T. Ms.",UKIP,842,2.4,*,-,0
, ,"Tomkins, T.",Ind,240,0.7,*,, 
, ,"Williams, T.",NF,229,0.6,*,, 
, ,"Gray, T.J.",Ch P,217,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'277,9.2,, , 
Birmingham Hall Green [59],76'580,63.6,"Godsiff, R.D.*",Lab,16'039,32.9,,-,9.4
, ,"Yaqoob, S. Ms.",Respect,12'240,25.1,, , 
, ,"Evans, J.",LD,11'988,24.6,,-,1.8
, ,"Barker, J. Ms.",Con,7'320,15,,+,0.1
, ,"Blumenthal, A.",UKIP,950,1.9,*,-,1
, ,"Gardner, A.",Ind,190,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'799,7.8,, , 
Birmingham Hodge Hill [60],75'040,56.6,"Byrne, L.*",Lab,22'077,52,,+,5.1
, ,"Khan, T.A.",LD,11'775,27.7,,-,2.1
, ,"Parekh, S.",Con,4'936,11.6,,+,1
, ,"Lumby, R.J.",BNP,2'333,5.5,,+,2
, ,"Rafiq, W.",UKIP,714,1.7,*,-,1.1
, ,"Johnson, P.F.",Soc Dem,637,1.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'302,24.3,, , 
Birmingham Ladywood [61],73'646,48.7,"Mahmood, S. Ms.",Lab,19'950,55.7,,+,3
, ,"Khan, A.",LD,9'845,27.5,,-,1.9
, ,"Ghani, N.M.",Con,4'277,11.9,,+,3.5
, ,"Booth, C.",UKIP,902,2.5,*,-,3
, ,"Beck, P.C.",GRN,859,2.4,*,+,2.1
, , , ,-----,---,, , 
2005: Lab,, , ,10'105,28.2,, , 
Birmingham Northfield [62],71'338,58.6,"Burden, R.*",Lab,16'841,40.3,,-,10.1
, ,"Huxtable, K.S. Ms.",Con,14'059,33.6,,+,3.2
, ,"Dixon, M.",LD,6'550,15.7,,+,3.3
, ,"Orton, L.J.",BNP,2'290,5.5,,+,2.2
, ,"Borthwick, J.H.",UKIP,1'363,3.3,*,+,1
, ,"Pearce, S. Ms.",GRN,406,1,*,, 
, ,"Rodgers, D.",CG,305,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'782,6.7,, , 
Birmingham Perry Barr [63],71'304,59,"Mahmood, K.*",Lab,21'142,50.3,,+,4
, ,"Hamilton, K. Ms.",LD,9'234,22,,-,4.1
, ,"Norton, W.G.D.",Con,8'960,21.3,,+,4
, ,"Ward, M.J.",UKIP,1'675,4,*,+,1.6
, ,"Tyrrell, J.",Soc Lab,527,1.3,*,, 
, ,"Hey-Smith, D. Ms.",Ch P,507,1.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'908,28.3,, , 
Birmingham Selly Oak [64],74'805,62.2,"McCabe, S.*",Lab,17'950,38.5,,-,8.3
, ,"Dawkins, N.D.",Con,14'468,31.1,,+,1.4
, ,"Radcliffe, D.S.",LD,10'371,22.3,,+,4.9
, ,"Orton, L.A. Ms.",BNP,1'820,3.9,*,, 
, ,"Burgess, J.",UKIP,1'131,2.4,*,-,0.1
, ,"Burn, J.",GRN,664,1.4,*,-,2.2
, ,"Leeds, S.L.",Ch P,159,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'482,7.5,, , 
Birmingham Yardley [65],72'321,56.5,"Hemming, J.A.M.*",LD,16'162,39.6,,-,2.5
, ,"Kelly, L.C. Ms.",Lab,13'160,32.2,,-,2.5
, ,"Jenkins, M.",Con,7'836,19.2,,+,8.6
, ,"Lumby, T.J. Ms.",BNP,2'153,5.3,,+,1.4
, ,"Duffen, G.M.",UKIP,1'190,2.9,*,+,1.2
, ,"Morris, P.E.",NF,349,0.9,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,3'002,7.3,, , 
Bishop Auckland [66],68'368,60.2,"Goodman, H.C. Ms.*",Lab,16'023,39,,-,11.1
, ,"Harrison, B.W. Ms.",Con,10'805,26.3,,+,3.4
, ,"Wilkes, M.A.",LD,9'189,22.3,,-,1.3
, ,"Walker, A.",BNP,2'036,4.9,*,, 
, ,"Zair, S.",LLPB,1'964,4.8,*,, 
, ,"Brothers, D.J.",UKIP,1'119,2.7,*,-,0.7
, , , ,-----,---,, , 
2005: Lab,, , ,5'218,12.7,, , 
Blackburn [67],72'331,62.9,"Straw, J.*",Lab,21'751,47.8,,+,5.7
, ,"Law-Riding, M.J.",Con,11'895,26.1,,+,3.5
, ,"English, P.A.",LD,6'918,15.2,,-,5.4
, ,"Evans, R.J.",BNP,2'158,4.7,*,-,0.7
, ,"Irfanullah, B. Ms.",BIB,1'424,3.1,*,, 
, ,"Anwar, B.",UKIP,942,2.1,*,-,0.2
, ,"Astley, G.C. Ms.",Ind,238,0.5,*,, 
, ,"Sharp, J. Ms.",Ind,173,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'856,21.7,, , 
Blackley and Broughton [68],69'489,49.2,"Stringer, G.*",Lab,18'563,54.3,,-,8.2
, ,"Edsberg, J.",Con,6'260,18.3,,+,5.3
, ,"Hobhouse, W.S.",LD,4'861,14.2,,-,4.9
, ,"Adams, D.G.",BNP,2'469,7.2,, , 
, ,"Phillips, K.A. Ms.",Respect,996,2.9,*,, 
, ,"Willescroft, B.",UKIP,894,2.6,*,-,2.7
, ,"Zaman, S.",Ch P,161,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'303,36,, , 
Blackpool North and Cleveleys [69],66'017,61.5,"Maynard, P.C.",Con,16'964,41.8,,+,4.5
, ,"Martin, P.A. Ms.",Lab,14'814,36.5,,-,9.2
, ,"Greene, W.L.",LD,5'400,13.3,,-,0.4
, ,"Hopwood, R.G.",UKIP,1'659,4.1,*,+,0.7
, ,"Clayton, J.A.",BNP,1'556,3.8,*,, 
, ,"Davies, A.J.",MRLP,198,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'150,5.3,, , 
Blackpool South [70],63'027,55.8,"Marsden, G.*",Lab,14'449,41.1,,-,7.5
, ,"Bell, R.",Con,12'597,35.8,,+,4.9
, ,"Holt, D. Ms.",LD,5'082,14.4,,-,0.7
, ,"Goodwin, R.",BNP,1'482,4.2,*,+,0.9
, ,"Howitt, H.A.",UKIP,1'352,3.8,*,+,1.7
, ,"Tun, S.",IUK,230,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'852,5.3,, , 
Blaenau Gwent [71],52'442,61.8,"Smith, N.D.J.",Lab,16'974,52.4,,+,20.1
, ,"Davies, D.C.*",BGPV,6'458,19.9,, , 
, ,"Smith, M.G.",LD,3'285,10.1,,+,5.9
, ,"Stevenson, E.E. Ms.",Con,2'265,7,,+,4.7
, ,"Davies, R.",PC,1'333,4.1,*,+,1.7
, ,"King, A.D.J.",BNP,1'211,3.7,*,, 
, ,"Kocan, M.K.",UKIP,488,1.5,*,+,1
, ,"O'Connell, A. Ms.",Soc Lab,381,1.2,*,, 
, , , ,-----,---,, , 
2005: Ind,, , ,10'516,32.5,, , 
Blaydon [72],67'808,66.2,"Anderson, D.*",Lab,22'297,49.6,,-,2
, ,"Bradbury, N.",LD,13'180,29.3,,-,8.5
, ,"Hall, G.",Con,7'159,15.9,,+,7.9
, ,"McFarlane, K.",BNP,2'277,5.1,, , 
, , , ,-----,---,, , 
2005: Lab,, , ,9'117,20.3,, , 
Blyth Valley [73],62'900,61.3,"Campbell, R.*",Lab,17'156,44.5,,-,10.5
, ,"Reid, J.",LD,10'488,27.2,,-,3.9
, ,"Flux, B.M.",Con,6'412,16.6,,+,2.7
, ,"Fairbairn, S.",BNP,1'699,4.4,*,, 
, ,"Condon, J.",UKIP,1'665,4.3,*,, 
, ,"Elliott, B.",Ind,819,2.1,*,, 
, ,"White, A.",ED,327,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'668,17.3,, , 
Bognor Regis and Littlehampton [74],70'816,66.2,"Gibb, N.J.*",Con,24'087,51.4,,+,6.3
, ,"McDougall, S.E.",LD,11'024,23.5,,+,1.6
, ,"Jones, M.G.",Lab,6'580,14,,-,11
, ,"Denny, D.E.",UKIP,3'036,6.5,,-,1.5
, ,"Moffat, A.J.",BNP,1'890,4,*,, 
, ,"Briggs, M.L. Ms.",Ind,235,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'063,27.9,, , 
Bolsover [75],72'766,60.5,"Skinner, D.E.*",Lab,21'994,50,,-,15.2
, ,"Rowley, L.B.",Con,10'812,24.6,,+,7.3
, ,"Hawksworth, D.E. Ms.",LD,6'821,15.5,,-,2
, ,"Radford, M.D.",BNP,2'640,6,, , 
, ,"Calladine, R.",UKIP,1'721,3.9,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'182,25.4,, , 
Bolton North East [76],66'846,64.7,"Crausby, D.A.*",Lab,19'870,45.9,,-,0.4
, ,"Dunleavy, D.J. Ms.",Con,15'786,36.5,,+,2.2
, ,"Ankers, P.J.",LD,5'624,13,,-,3.1
, ,"Johnson, N.D.",UKIP,1'815,4.2,*,+,2.4
, ,"Armston, N. Ms.",You,182,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'084,9.4,, , 
Bolton South East [77],69'499,57,"Qureshi, Y. Ms.",Lab,18'782,47.4,,-,8.3
, ,"Morgan, A.P.",Con,10'148,25.6,,+,2.9
, ,"O'Hanlon, D.",LD,6'289,15.9,,-,2.2
, ,"Spink, S.M. Ms.",BNP,2'012,5.1,, , 
, ,"Sidaway, I.D.",UKIP,1'564,3.9,*,+,1.4
, ,"Johnson, A.",GRN,614,1.6,*,, 
, ,"Syed, N.",CPA,195,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'634,21.8,, , 
Bolton West [78],71'284,66.7,"Hilling, J.A. Ms.",Lab,18'327,38.5,,-,6.8
, ,"Williams, S. Ms.",Con,18'235,38.3,,+,4.9
, ,"Pearcey, J. Ms.",LD,8'177,17.2,,-,1.8
, ,"Lamb, H.",UKIP,1'901,4,*,+,2.6
, ,"Mann, R.E. Ms.",GRN,545,1.1,*,, 
, ,"Jones, J.",Ind,254,0.5,*,, 
, ,"Bagnall, D.",You,137,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,92,0.2,, , 
Bootle [79],71'422,57.8,"Benton, J.E.*",Lab,27'426,66.4,,-,4.6
, ,"Murray, J.",LD,6'245,15.1,,-,1.4
, ,"Qureshi, S.",Con,3'678,8.9,,+,1.5
, ,"Nuttall, P.A.",UKIP,2'514,6.1,,+,2.8
, ,"Stewart, C.",BNP,942,2.3,*,, 
, ,"Glover, P.",TUSC,472,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,21'181,51.3,, , 
Boston and Skegness [80],67'186,64.2,"Simmonds, M.J.M.*",Con,21'325,49.4,,+,3.1
, ,"Kenny, P.R.",Lab,8'899,20.6,,-,10.9
, ,"Smith, P.A.",LD,6'371,14.8,,+,5.4
, ,"Pain, C.",UKIP,4'081,9.5,,+,0
, ,"Owens, D.",BNP,2'278,5.3,,+,2.9
, ,"Wilson, P.H.",Ind,171,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'426,28.8,, , 
Bosworth [81],77'296,70.2,"Tredinnick, D.*",Con,23'132,42.6,,+,0
, ,"Mullaney, M.T.",LD,18'100,33.3,,+,11.7
, ,"Palmer, R.",Lab,8'674,16,,-,15.9
, ,"Ryde, J.E.",BNP,2'458,4.5,*,, 
, ,"Veldhuizen, D.",UKIP,1'098,2,*,-,1.9
, ,"Lampitt, J.A.",ED,615,1.1,*,, 
, ,"Brooks, M.E.",Sci,197,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,5'032,9.3,, , 
Bournemouth East [82],71'125,61.9,"Ellwood, T.M.*",Con,21'320,48.4,,+,3.1
, ,"Northover, L.J.E. Ms.",LD,13'592,30.9,,-,0.4
, ,"Stokes, D.",Lab,5'836,13.3,,-,5.3
, ,"Hughes, D.N.",UKIP,3'027,6.9,,+,2
, ,"Humphrey, S.J.",Ind,249,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'728,17.6,, , 
Bournemouth West [83],71'753,58.1,"Burns, C.",Con,18'808,45.1,,+,5.6
, ,"Murray, A.J.",LD,13'225,31.7,,-,0.2
, ,"Carr-Brown, S.L. Ms.",Lab,6'171,14.8,,-,8.1
, ,"Glover, P.",UKIP,2'999,7.2,,+,1.6
, ,"Taylor, J.C.",Ind,456,1.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,5'583,13.4,, , 
Bracknell [84],76'888,67.8,"Lee, P.J.",Con,27'327,52.4,,+,2.6
, ,"Earwicker, R.W.",LD,11'623,22.3,,+,4.5
, ,"Piasecki, J.S.",Lab,8'755,16.8,,-,11.1
, ,"Barter, M.P.",UKIP,2'297,4.4,*,+,0.9
, ,"Burke, M.A.",BNP,1'253,2.4,*,, 
, ,"Young, D.H.",GRN,821,1.6,*,, 
, ,"Haycocks, D.J.",SMA,60,0.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'704,30.1,, , 
Bradford East [85],65'116,62.1,"Ward, D.",LD,13'637,33.7,,+,3.9
, ,"Rooney, T.*",Lab,13'272,32.8,,-,11.3
, ,"Riaz, M.",Con,10'860,26.8,,+,9.4
, ,"Poynton, N.",BNP,1'854,4.6,*,-,1
, ,"Hussain, R.S.",Ind,375,0.9,*,, 
, ,"Shields, P.T.",Ind,237,0.6,*,, 
, ,"Robinson, G.",NF,222,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,365,0.9,, , 
Bradford South [86],63'580,59.8,"Sutcliffe, G.*",Lab,15'682,41.3,,-,7
, ,"Palmer, M.J.S.",Con,11'060,29.1,,+,4.8
, ,"Griffiths, A.O.",LD,6'948,18.3,,+,3.8
, ,"Sutton, S. Ms.",BNP,2'651,7,,-,1.2
, ,"Illingworth, J.",UKIP,1'339,3.5,*,+,2
, ,"Lewthwaite, J.G.",D Nat,315,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'622,12.2,, , 
Bradford West [87],62'519,64.9,"Singh, M.*",Lab,18'401,45.3,,+,5.6
, ,"Iqbal, Z.",Con,12'638,31.1,,-,0.2
, ,"Hall-Matthews, D.N.J.",LD,4'732,11.7,,-,7.4
, ,"Sampson, J. Ms.",BNP,1'370,3.4,*,-,3.5
, ,"Ali, A.",Respect,1'245,3.1,*,, 
, ,"Ford, D.M.",GRN,940,2.3,*,-,0.7
, ,"Smith, J.P.",UKIP,812,2,*,, 
, ,"Craig, N.",D Nat,438,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'763,14.2,, , 
Braintree [88],71'163,69.1,"Newmark, B.*",Con,25'901,52.6,,+,2.7
, ,"Edwards, B.",Lab,9'780,19.9,,-,10.8
, ,"Jarvis, S.",LD,9'247,18.8,,+,5.2
, ,"Ford, M.",UKIP,2'477,5,,+,2.6
, ,"Hooks, P.S.",BNP,1'080,2.2,*,, 
, ,"Blench, D.E.M. Ms.",GRN,718,1.5,*,-,1.5
, , , ,-----,---,, , 
2005: Con,, , ,16'121,32.8,, , 
Brecon and Radnorshire [89],53'589,72.5,"Williams, R.H.*",LD,17'929,46.2,,+,1.3
, ,"Davies, S. Ms.",Con,14'182,36.5,,+,1.9
, ,"Lloyd, C.",Lab,4'096,10.5,,-,4.5
, ,"Davies, J.M. Ms.",PC,989,2.5,*,-,1.1
, ,"Easton, C.G.",UKIP,876,2.3,*,+,0.4
, ,"Robinson, D.J. Ms.",GRN,341,0.9,*,, 
, ,"Green, J.D.",Ch P,222,0.6,*,, 
, ,"Offa, L.",MRLP,210,0.5,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,3'747,9.6,, , 
Brent Central [90],74'046,61.2,"Teather, S.L. Ms.*",LD,20'026,44.2,,+,13.1
, ,"Butler, D. Ms.*",Lab,18'681,41.2,,-,8.9
, ,"Rajput, S.",Con,5'067,11.2,,-,1.9
, ,"Ali, S.",GRN,668,1.5,*,-,2.2
, ,"Williams, E.A.",Ch P,488,1.1,*,, 
, ,"Duale, A.",Respect,230,0.5,*,, 
, ,"McCastree, D.",Ind,163,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'345,3,, , 
Brent North [91],83'896,62.3,"Gardiner, B.*",Lab,24'514,46.9,,-,2.5
, ,"Patel, H.",Con,16'486,31.5,,+,2.2
, ,"Allie, J.B.",LD,8'879,17,,-,2.5
, ,"Malik, A.",Ind,734,1.4,*,, 
, ,"Francis, M.",GRN,725,1.4,*,, 
, ,"Webb, S. Ms.",UKIP,380,0.7,*,, 
, ,"Vamadeva, J.",Ind,333,0.6,*,, 
, ,"Tailor, A.A.",ED,247,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'028,15.4,, , 
Brentford and Isleworth [92],83'546,64.4,"Macleod, M. Ms.",Con,20'022,37.2,,+,6.5
, ,"Keen, A. Ms.*",Lab,18'064,33.6,,-,5.4
, ,"Dakers, A.S.",LD,12'718,23.7,,+,0.7
, ,"Hargreaves, J.D.",UKIP,863,1.6,*,, 
, ,"Hunt, J.G.",GRN,787,1.5,*,-,2.1
, ,"Winnett, P.",BNP,704,1.3,*,, 
, ,"Cunningham, D.B.",ED,230,0.4,*,, 
, ,"Bhatti, A.J.",Ch P,210,0.4,*,, 
, ,"Pillai, E. Ms.",CPA,99,0.2,*,, 
, ,"Vanneck-Surplice, T.M. Ms.",Ind,68,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'958,3.6,, , 
Brentwood and Ongar [93],69'309,73,"Pickles, E.J.*",Con,28'793,56.9,,+,2.9
, ,"Kendall, D.J.",LD,11'872,23.5,,-,3.4
, ,"Benzing, H.C. Ms.",Lab,4'992,9.9,,-,4.9
, ,"McGough, M.J.",UKIP,2'037,4,*,+,0
, ,"Morris, P.",BNP,1'447,2.9,*,, 
, ,"Barnecutt, J. Ms.",GRN,584,1.2,*,, 
, ,"Tilbrook, R.C.W.",ED,491,1,*,, 
, ,"Sapwell, J.W.A.",Ind,263,0.5,*,, 
, ,"Attfield, D.",ND,113,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'921,33.4,, , 
Bridgend [94],58'700,65.3,"Moon, M. Ms.*",Lab,13'931,36.3,,-,6.6
, ,"Baker, H.L. Ms.",Con,11'668,30.4,,+,5.4
, ,"Morgan, W.",LD,8'658,22.6,,+,0.5
, ,"Thomas, N.H.",PC,2'269,5.9,,-,1
, ,"Urch, B.M.",BNP,1'020,2.7,*,, 
, ,"Fulton, D.E.",UKIP,801,2.1,*,+,0.7
, , , ,-----,---,, , 
2005: Lab,, , ,2'263,5.9,, , 
Bridgwater and Somerset West [95],82'180,66.3,"Liddell-Grainger, I.R.*",Con,24'675,45.3,,-,0.1
, ,"Butt Philip, T.J.",LD,15'426,28.3,,+,5.7
, ,"Pearce, K.E. Ms.",Lab,9'332,17.1,,-,8.5
, ,"Hollings, P.G.",UKIP,2'604,4.8,*,+,1.1
, ,"Treanor, D. Ms.",BNP,1'282,2.4,*,, 
, ,"Graham, R.C.",GRN,859,1.6,*,-,1.2
, ,"Cudlipp, W.R.",Ind,315,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,9'249,17,, , 
Brigg and Goole [96],67'345,65.1,"Percy, A.",Con,19'680,44.9,,+,6.9
, ,"Cawsey, I.A.*",Lab,14'533,33.1,,-,12.7
, ,"Nixon, R.A.",LD,6'414,14.6,,+,1.4
, ,"Wright, N.J.",UKIP,1'749,4,*,+,1
, ,"Ward, S.J.",BNP,1'498,3.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'147,11.7,, , 
Brighton Kemptown [97],66'015,64.7,"Kirby, S.G.",Con,16'217,38,,+,3.8
, ,"Burgess, S.",Lab,14'889,34.9,,-,4.1
, ,"Williams, J. Ms.",LD,7'691,18,,+,1.1
, ,"Duncan, B.",GRN,2'330,5.5,,-,1.1
, ,"Chamberlain-Webber, J.",UKIP,1'384,3.2,*,+,1.3
, ,"Hill, D.",TUSC,194,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'328,3.1,, , 
Brighton Pavilion [98],74'009,70,"Lucas, C. Ms.",GRN,16'238,31.3,,+,9.4
, ,"Platts, N. Ms.",Lab,14'986,28.9,,-,7.5
, ,"Vere, C. Ms.",Con,12'275,23.7,,+,0.4
, ,"Millam, B. Ms.",LD,7'159,13.8,,-,2.2
, ,"Carter, N.D.",UKIP,948,1.8,*,+,0.6
, ,"Fyvie, I.C.",Soc Lab,148,0.3,*,, 
, ,"Kara, S.A. Ms.",CURE,61,0.1,*,, 
, ,"Atreides, L.",ND,19,0,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'252,2.4,, , 
Bristol East [99],69'448,64.8,"McCarthy, K. Ms.*",Lab,16'471,36.6,,-,8.9
, ,"Shafi, A. Ms.",Con,12'749,28.3,,+,0.2
, ,"Popham, M.",LD,10'993,24.4,,+,4.7
, ,"Jenkins, B.T. Ms.",BNP,1'960,4.4,*,, 
, ,"Collins, P.J.",UKIP,1'510,3.4,*,+,0.7
, ,"Vowles, G.R.",GRN,803,1.8,*,-,0.9
, ,"Wright, S.M.",ED,347,0.8,*,, 
, ,"Lynch, R. Ms.",TUSC,184,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'722,8.3,, , 
Bristol North West [100],73'469,68.5,"Leslie, C.A. Ms.",Con,19'115,38,,+,5.5
, ,"Harrod, P.",LD,15'841,31.5,,+,6.6
, ,"Townend, S.",Lab,13'059,25.9,,-,12.2
, ,"Upton, R.",UKIP,1'175,2.3,*,+,0.7
, ,"Carr, R.",ED,635,1.3,*,, 
, ,"Dunn, A.",GRN,511,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'274,6.5,, , 
Bristol South [101],78'579,61.6,"Primarolo, D. Ms.*",Lab,18'600,38.4,,-,10.1
, ,"Wright, M.",LD,13'866,28.7,,+,4.9
, ,"Lloyd Davies, M.T.",Con,11'086,22.9,,+,3.3
, ,"Chidsey, C.R.",BNP,1'739,3.6,*,, 
, ,"McNamee, C.",UKIP,1'264,2.6,*,-,0.5
, ,"Bolton, C.N.",GRN,1'216,2.5,*,-,2.5
, ,"Clarke, C.S.",ED,400,0.8,*,, 
, ,"Baldwin, T.",TUSC,206,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'734,9.8,, , 
Bristol West [102],82'728,66.9,"Williams, S.R.*",LD,26'593,48,,+,9
, ,"Smith, P.",Lab,15'227,27.5,,-,9
, ,"Yarker, N.",Con,10'169,18.4,,+,2
, ,"Knight, R.",GRN,2'090,3.8,*,-,1.9
, ,"Lees, C.",UKIP,655,1.2,*,-,0.1
, ,"Kushlick, D.",Ind,343,0.6,*,, 
, ,"Baker, J.",ED,270,0.5,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,11'366,20.5,, , 
Broadland [103],72'445,72.7,"Simpson, K.R.*",Con,24'338,46.2,,+,2.8
, ,"Roper, D.J.",LD,17'046,32.4,,+,2.9
, ,"Barron, A.M. Ms.",Lab,7'287,13.8,,-,9.8
, ,"Agnew, J.S.",UKIP,2'382,4.5,*,+,1.1
, ,"Crowther, E. Ms.",BNP,871,1.7,*,, 
, ,"Curran, S. Ms.",GRN,752,1.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'292,13.8,, , 
Bromley and Chislehurst [104],65'427,67.3,"Neill, R.J.M.*",Con,23'569,53.5,,+,8.5
, ,"Webber, S.D.",LD,9'669,22,,-,1.8
, ,"Kirby, C.C.A.",Lab,7'295,16.6,,-,7.9
, ,"Jenner, E.",UKIP,1'451,3.3,*,+,0.1
, ,"Savage, R.L. Ms.",BNP,1'070,2.4,*,, 
, ,"Robertson, R.T.S. Ms.",GRN,607,1.4,*,-,2.3
, ,"Cheeseman, J.D.",ED,376,0.9,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'900,31.6,, , 
Bromsgrove [105],73'036,70.7,"Javid, S.",Con,22'558,43.7,,-,7.3
, ,"Burden, S.",Lab,11'250,21.8,,-,8.1
, ,"Ling, P.",LD,10'124,19.6,,+,4.6
, ,"Morson, S.W.",UKIP,2'950,5.7,,+,1.7
, ,"Kriss, A.D.",BIC,2'182,4.2,*,, 
, ,"Wainwright, E.J. Ms.",BNP,1'923,3.7,*,, 
, ,"France, M.A.",Ind,336,0.7,*,, 
, ,"Wheatley, K.",Ind,307,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'308,21.9,, , 
Broxbourne [106],71'391,64,"Walker, C.A.R.*",Con,26'844,58.8,,+,4.9
, ,"Watson, M.",Lab,8'040,17.6,,-,7.9
, ,"Witherick, A.S.M.",LD,6'107,13.4,,+,1.1
, ,"McCole, S.",BNP,2'159,4.7,*,-,0
, ,"Harvey, M.",UKIP,1'890,4.1,*,+,0.5
, ,"LeMay, D. Ms.",ED,618,1.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,18'804,41.2,, , 
Broxtowe [107],72'042,73.2,"Soubry, A.M. Ms.",Con,20'585,39,,+,1.8
, ,"Palmer, N.D.*",Lab,20'196,38.3,,-,3.4
, ,"Watts, D.K.",LD,8'907,16.9,,+,0.8
, ,"Shore, M.P.",BNP,1'422,2.7,*,, 
, ,"Cobb, C.P.",UKIP,1'194,2.3,*,+,0.8
, ,"Mitchell, D.",GRN,423,0.8,*,-,1.1
, , , ,-----,---,, , 
2005: Lab,, , ,389,0.7,, , 
Buckingham [108],74'989,64.5,"Bercow, J.S.*",Speaker,22'860,47.3,, , 
, ,"Stevens, J.C.C.",Ind,10'331,21.4,, , 
, ,"Farage, N.P.",UKIP,8'401,17.4,,+,13.9
, ,"Phillips, F.P.S.",Ind,2'394,5,*,, 
, ,"Martin, D.V. Ms.",Ind,1'270,2.6,*,, 
, ,"Mozar, L. Ms.",BNP,980,2,*,, 
, ,"Dale-Mills, C.",MRLP,856,1.8,*,, 
, ,"Howard, W.G.",Ind,435,0.9,*,, 
, ,"Hews, D.P.R.",Ch P,369,0.8,*,, 
, ,"Watts, A.",Ind,332,0.7,*,, 
, ,"Strutt, S.J.",CTDP,107,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'529,25.9,, , 
Burnley [109],66'615,62.8,"Birtwistle, G.",LD,14'932,35.7,,+,12
, ,"Cooper, J.E. Ms.",Lab,13'114,31.3,,-,7.1
, ,"Ali, R.",Con,6'950,16.6,,+,5.8
, ,"Wilkinson, S. Ms.",BNP,3'747,9,,-,1.3
, ,"Brown, A.",Ind,1'876,4.5,*,, 
, ,"Wignall, J.",UKIP,929,2.2,*,+,1.3
, ,"Hennessey, A.",Ind,297,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'818,4.3,, , 
Burton [110],74'874,66.5,"Griffiths, A.J.",Con,22'188,44.5,,+,7.2
, ,"Smeeth, R.L. Ms.",Lab,15'884,31.9,,-,10.2
, ,"Rodgers, M.J.",LD,7'891,15.8,,+,3.4
, ,"Hewitt, A.",BNP,2'409,4.8,*,+,0.7
, ,"Lancaster, P.A.",UKIP,1'451,2.9,*,+,1
, , , ,-----,---,, , 
2005: Lab,, , ,6'304,12.7,, , 
Bury North [111],66'759,67.3,"Nuttall, D.J.",Con,18'070,40.2,,+,3.4
, ,"Khan, M. Ms.",Lab,15'827,35.2,,-,6.6
, ,"Baum, R.",LD,7'645,17,,+,1.9
, ,"Maude, J.",BNP,1'825,4.1,*,-,0.3
, ,"Evans, S.M.",UKIP,1'282,2.9,*,+,1.8
