UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
Bolton North East,,David Crausby,Labour,21166,54.34%,69514,8422,56.03%,Labour Hold,08/06/01 01:17
,,Michael Winstanley,Conservative,12744,32.72%,,,,,
,,Tim Perkins,Liberal Democrat,4004,10.28%,,,,,
,,Kenneth McIvor,Green,629,1.61%,,,,,
,,Lynne Lowe,Socialist Labour,407,1.04%,,,,,
,,,,,,,,,,
Bolton South East,,Brian Iddon,Labour,21129,61.86%,68140,12871,50.12%,Labour Hold,08/06/01 01:09
,,Haroon Rashid,Conservative,8258,24.18%,,,,,
,,Frank Harasiwka,Liberal Democrat,3941,11.54%,,,,,
,,William John Kelly,Socialist Labour,826,2.42%,,,,,
,,,,,,,,,,
Bolton West,,Ruth Kelly,Labour,19381,47.03%,66033,5518,62.41%,Labour Hold,08/06/01 01:40
,,James Stevens,Conservative,13863,33.64%,,,,,
,,Barbara Ronson,Liberal Democrat,7573,18.37%,,,,,
,,David Toomer,Socialist Alliance,397,0.96%,,,,,
,,,,,,,,,,
Bootle,,Joe E Benton,Labour,21400,77.55%,56320,19043,49.00%,Labour Hold,08/06/01 00:27
,,Jim Murray,Liberal Democrat,2357,8.54%,,,,,
,,Judith Symes,Conservative,2194,7.95%,,,,,
,,Dave Flynn,Socialist Labour,971,3.52%,,,,,
,,Peter Glover,Socialist Alliance,672,2.44%,,,,,
,,,,,,,,,,
Boston and Skegness,,Mark Simmonds,Conservative,17298,42.91%,69010,515,58.42%,Conservative Hold,08/06/01 03:31
,,Elaine Bird,Labour,16783,41.63%,,,,,
,,Duncan Moffatt,Liberal Democrat,4994,12.39%,,,,,
,,Cyril Wakefield,United Kingdom Independence,717,1.78%,,,,,
,,Martin Harrison,Green,521,1.29%,,,,,
,,,,,,,,,,
Bosworth,,David Tredinnick,Conservative,20030,44.41%,69992,2280,64.44%,Conservative Hold,08/06/01 02:39
,,Andrew Furlong,Labour,17750,39.35%,,,,,
,,Jon Ellis,Liberal Democrat,7326,16.24%,,,,,
,,,,,,,,,,
Bournemouth East,,David Atkinson,Conservative,15501,43.30%,60454,3434,59.22%,Conservative Hold,08/06/01 01:41
,,Andrew Garratt,Liberal Democrat,12067,33.71%,,,,,
,,Paul Nicholson,Labour,7107,19.85%,,,,,
,,George Chamberlaine,United Kingdom Independence,1124,3.14%,,,,,
,,,,,,,,,,
Bournemouth West,,John Butterfill,Conservative,14417,42.85%,62038,4718,54.24%,Conservative Hold,08/06/01 01:42
,,David Stokes,Labour,9699,28.82%,,,,,
,,Fiona Hornby,Liberal Democrat,8468,25.17%,,,,,
,,Cynthia Blake,United Kingdom Independence,1064,3.16%,,,,,
,,,,,,,,,,
Bracknell,,Andrew Mackay,Conservative,22962,46.65%,81118,6713,60.68%,Conservative Hold,08/06/01 02:33
,,Janet Keene,Labour,16249,33.01%,,,,,
,,Ray Earwicker,Liberal Democrat,8424,17.11%,,,,,
,,Lawrence Boxall,United Kingdom Independence,1266,2.57%,,,,,
,,Dominica Roberts,ProLife Alliance,324,0.66%,,,,,
,,,,,,,,,,
Bradford North,,Terry Rooney,Labour,17419,49.74%,66454,8969,52.69%,Labour Hold,08/06/01 01:20
,,Zahid Iqbal,Conservative,8450,24.13%,,,,,
,,David Ward,Liberal Democrat,6924,19.77%,,,,,
,,John Brayshaw,British National,1613,4.61%,,,,,
,,Steven Schofield,Green,611,1.74%,,,,,
,,,,,,,,,,
Bradford South,,Gerry Sutcliffe,Labour,19603,55.79%,68450,9662,51.33%,Labour Hold,08/06/01 01:29
,,Graham Tennyson,Conservative,9941,28.29%,,,,,
,,Alexander Wilson-Fletcher,Liberal Democrat,3717,10.58%,,,,,
,,Peter North,United Kingdom Independence,783,2.23%,,,,,
,,Tony Kelly,Socialist Labour,571,1.63%,,,,,
,,Ateeq Siddique,Socialist Alliance,302,0.86%,,,,,
,,George Riseborough,Defend The Welfare State Against Blairism,220,0.63%,,,,,
,,,,,,,,,,
Bradford West,,Marsha Singh,Labour,18401,47.96%,71620,4165,53.57%,Labour Hold,08/06/01 02:00
,,Mohammed Riaz,Conservative,14236,37.10%,,,,,
,,John Robinson,Green,2672,6.96%,,,,,
,,Abdul Rauf Khan,Liberal Democrat,2437,6.35%,,,,,
,,Imran Hussain,United Kingdom Independence,427,1.11%,,,,,
,,Farhan Khokhar,Asian League,197,0.51%,,,,,
,,,,,,,,,,
Braintree,,Alan Hurst,Labour,21123,41.98%,79157,358,63.56%,Labour Hold,08/06/01 04:41
,,Brooks Newmark,Conservative,20765,41.27%,,,,,
,,Peter Turner,Liberal Democrat,5664,11.26%,,,,,
,,James Abbott,Green,1241,2.47%,,,,,
,,Michael Nolan,Legalise Cannabis Alliance,774,1.54%,,,,,
,,Charles Cole,United Kingdom Independence,748,1.49%,,,,,
,,,,,,,,,,
Brecon and Radnorshire,,Roger Williams,Liberal Democrat,13824,36.85%,52247,751,71.81%,Liberal Democrat Hold,08/06/01 02:46
,,Felix Aubel,Conservative,13073,34.85%,,,,,
,,Huw Irranca-Davis,Labour,8024,21.39%,,,,,
,,Brynach Parri,Plaid Cymru,1301,3.47%,,,,,
,,Ian Mitchell,Independent,762,2.03%,,,,,
,,Elizabeth Phillips,United Kingdom Independence,452,1.20%,,,,,
,,Robert Nicholson,Independent,80,0.21%,,,,,
,,,,,,,,,,
Brent East,,Paul Daisley,Labour,18325,63.21%,58095,13047,49.90%,Labour Hold,08/06/01 02:55
,,David Gauke,Conservative,5278,18.21%,,,,,
,,Nowsheen Bhatti,Liberal Democrat,3065,10.57%,,,,,
,,Simone Aspis,Green,1361,4.69%,,,,,
,,Sarah Macken,ProLife Alliance,392,1.35%,,,,,
,,Iris Cremer,Socialist Labour,383,1.32%,,,,,
,,Ashwin Tanna,United Kingdom Independence,188,0.65%,,,,,
,,,,,,,,,,
Brent North,,Barry Gardiner,Labour,20149,59.37%,58789,10205,57.73%,Labour Hold,08/06/01 02:46
,,Philip Allott,Conservative,9944,29.30%,,,,,
,,Paul Lorber,Liberal Democrat,3846,11.33%,,,,,
,,,,,,,,,,
Brent South,,Paul Boateng,Labour,20984,73.28%,55891,17380,51.24%,Labour Hold,08/06/01 03:04
,,Carupiah Selvarajah,Conservative,3604,12.59%,,,,,
,,Havard Hughes,Liberal Democrat,3098,10.82%,,,,,
,,Mick McDonnell,Socialist Alliance,491,1.71%,,,,,
,,Thomas Ma Stiofain,Residents and Motorists of Great Britain,460,1.61%,,,,,
,,,,,,,,,,
Brentford and Isleworth,,Ann Keen,Labour,23275,52.29%,84049,10318,52.96%,Labour Hold,08/06/01 02:42
,,Tim Mack,Conservative,12957,29.11%,,,,,
,,Gareth Hartwell,Liberal Democrat,5994,13.47%,,,,,
,,Nic Ferriday,Green,1324,2.97%,,,,,
,,Gerald Ingram,United Kingdom Independence,412,0.93%,,,,,
,,Danny Faith,Socialist Alliance,408,0.92%,,,,,
,,Asa Khaira,Independent,144,0.32%,,,,,
,,,,,,,,,,
Brentwood and Ongar,,Eric Pickles,Conservative,16558,38.03%,64695,2821,67.30%,Conservative Hold,08/06/01 03:23
,,Martin Bell,Independent,13737,31.55%,,,,,
,,David Kendall,Liberal Democrat,6772,15.55%,,,,,
,,Diana Johnson,Labour,5505,12.64%,,,,,
,,Ken Gulleford,United Kingdom Independence,611,1.40%,,,,,
,,Peter Pryke,Independent,239,0.55%,,,,,
,,David Bishop,Church of the Militant Elvis,68,0.16%,,,,,
,,Tony Appleton,Independent,52,0.12%,,,,,
,,,,,,,,,,
Bridgend,,Win Griffiths,Labour,19422,52.49%,61496,10045,60.17%,Labour Hold,08/06/01 02:12
,,Tania Brisby,Conservative,9377,25.34%,,,,,
,,Jean Barraclough,Liberal Democrat,5330,14.40%,,,,,
,,Monica Mahoney,Plaid Cymru,2652,7.17%,,,,,
,,Sara Jeremy,ProLife Alliance,223,0.60%,,,,,
,,,,,,,,,,
Bridgwater,,Ian Liddell-Grainger,Conservative,19354,40.45%,74079,4987,64.59%,Conservative Hold,08/06/01 03:09
,,Ian Thorn,Liberal Democrat,14367,30.03%,,,,,
,,William Monteith,Labour,12803,26.76%,,,,,
,,Vicky Gardner,United Kingdom Independence,1323,2.77%,,,,,
,,,,,,,,,,
Brigg and Goole,,Ian Cawsey,Labour,20066,48.88%,63536,3961,64.62%,Labour Hold,08/06/01 02:47
,,Don Stewart,Conservative,16105,39.23%,,,,,
,,David Nolan,Liberal Democrat,3796,9.25%,,,,,
,,Godfrey Bloom,United Kingdom Independence,688,1.68%,,,,,
,,Michael Kenny,Socialist Labour,399,0.97%,,,,,
,,,,,,,,,,
Brighton Kemptown,,Desmond Turner,Labour,18745,47.82%,67621,4922,57.97%,Labour Hold,08/06/01 02:48
,,Geoffrey Theobald,Conservative,13823,35.26%,,,,,
,,Jan Marshall,Liberal Democrat,4064,10.37%,,,,,
,,Hugh Miller,Green,1290,3.29%,,,,,
,,James Chamberlain-Webber,United Kingdom Independence,543,1.39%,,,,,
,,John McLeod,Socialist Labour,364,0.93%,,,,,
,,Dave Dobbs,Free,227,0.58%,,,,,
,,Elaine Cook,ProLife Alliance,147,0.37%,,,,,
,,,,,,,,,,
Brighton Pavilion,,David Lepper,Labour/Co-operative,19846,48.73%,69200,9643,58.85%,Labour/Co-operative Hold,08/06/01 02:09
,,David Gold,Conservative,10203,25.05%,,,,,
,,Ruth Berry,Liberal Democrat,5348,13.13%,,,,,
,,Keith Taylor,Green,3806,9.35%,,,,,
,,Ian Fyvie,Socialist Labour,573,1.41%,,,,,
,,Bob Dobbs,Free,409,1.00%,,,,,
,,Stuart Hutchin,United Kingdom Independence,361,0.89%,,,,,
,,Marie Paragallo,ProLife Alliance,177,0.43%,,,,,
,,,,,,,,,,
Bristol East,,Jean Corston,Labour,22180,54.99%,70279,13392,57.39%,Labour Hold,08/06/01 03:19
,,Jack Lo-Presti,Conservative,8788,21.79%,,,,,
,,Brian Niblett,Liberal Democrat,6915,17.14%,,,,,
,,Geoff Collard,Green,1110,2.75%,,,,,
,,Roger Marsh,United Kingdom Independence,572,1.42%,,,,,
,,Mike Langley,Socialist Labour,438,1.09%,,,,,
,,Andy Pryor,Socialist Alliance,331,0.82%,,,,,
,,,,,,,,,,
Bristol North West,,Doug Naysmith,Labour/Co-operative,24436,52.33%,76756,11087,60.83%,Labour/Co-operative Hold,08/06/01 03:02
,,Charles Hansard,Conservative,13349,28.59%,,,,,
,,Peter Tyzack,Liberal Democrat,7387,15.82%,,,,,
,,Diane Carr,United Kingdom Independence,1149,2.46%,,,,,
,,Vince Horrigan,Socialist Labour,371,0.79%,,,,,
,,,,,,,,,,
Bristol South,,Dawn Primarolo,Labour,23299,56.87%,72490,14181,56.52%,Labour Hold,08/06/01 02:20
,,Richard Eddy,Conservative,9118,22.26%,,,,,
,,James Main,Liberal Democrat,6078,14.84%,,,,,
,,Glenn Vowles,Green,1233,3.01%,,,,,
,,Chris Prasad,United Kingdom Independence,496,1.21%,,,,,
,,Brian Drummond,Socialist Alliance,496,1.21%,,,,,
,,Giles Shorter,Socialist Labour,250,0.61%,,,,,
,,,,,,,,,,
Bristol West,,Valerie Davey,Labour,20505,36.84%,84821,4426,65.63%,Labour Hold,08/06/01 03:06
,,Stephen Williams,Liberal Democrat,16079,28.89%,,,,,
,,Pamela Chesters,Conservative,16040,28.82%,,,,,
,,John Devaney,Green,1961,3.52%,,,,,
,,Bernard Kennedy,Socialist Labour,590,1.06%,,,,,
,,Simon Muir,United Kingdom Independence,490,0.88%,,,,,
,,,,,,,,,,
Bromley and Chislehurst,,Eric Forth,Conservative,21412,49.53%,68763,9037,62.87%,Conservative Hold,08/06/01 02:28
,,Sue Polydorou,Labour,12375,28.63%,,,,,
,,Geoff Payne,Liberal Democrat,8180,18.92%,,,,,
,,Rob Bryant,United Kingdom Independence,1264,2.92%,,,,,
,,,,,,,,,,
Bromsgrove,,Julie Kirkbride,Conservative,23640,51.75%,68115,8138,67.07%,Conservative Hold,08/06/01 02:37
,,Peter McDonald,Labour,15502,33.93%,,,,,
,,Margaret Rowley,Liberal Democrat,5430,11.89%,,,,,
,,Ian Gregory,United Kingdom Independence,1112,2.43%,,,,,
,,,,,,,,,,
Broxbourne,,Marion Roe,Conservative,20487,54.13%,68982,8993,54.86%,Conservative Hold,08/06/01 01:43
,,David Prendergast,Labour,11494,30.37%,,,,,
,,Julia Davies,Liberal Democrat,4158,10.99%,,,,,
,,Martin Harvey,United Kingdom Independence,858,2.27%,,,,,
,,John Cope,British National,848,2.24%,,,,,
,,,,,,,,,,
Broxtowe,,Nick Palmer,Labour,23836,48.64%,73675,5873,66.51%,Labour Hold,08/06/01 02:01
,,Pauline Latham,Conservative,17963,36.66%,,,,,
,,David Watts,Liberal Democrat,7205,14.70%,,,,,
,,,,,,,,,,
Buckingham,,John Bercow,Conservative,24296,53.67%,65270,13325,69.36%,Conservative Hold,08/06/01 04:42
,,Mark Seddon,Labour,10971,24.23%,,,,,
,,Isobel Wilson,Liberal Democrat,9037,19.96%,,,,,
,,Christopher Silcock,United Kingdom Independence,968,2.14%,,,,,
,,,,,,,,,,
Burnley,,Peter Pike,Labour,18195,49.33%,66393,10498,55.55%,Labour Hold,08/06/01 01:50
,,Robert Frost,Conservative,7697,20.87%,,,,,
,,Paul Wright,Liberal Democrat,5975,16.20%,,,,,
,,Steven Smith,British National,4151,11.25%,,,,,
,,Richard Buttrey,United Kingdom Independence,866,2.35%,,,,,
,,,,,,,,,,
Burton,,Janet Dean,Labour,22783,49.04%,75194,4849,61.78%,Labour Hold,08/06/01 02:59
,,Maggie Punyer,Conservative,17934,38.60%,,,,,
,,David Fletcher,Liberal Democrat,4468,9.62%,,,,,
,,Ian Crompton,United Kingdom Independence,984,2.12%,,,,,
,,John Taylor,ProLife Alliance,288,0.62%,,,,,
,,,,,,,,,,
Bury North,,David Chaytor,Labour,22945,51.23%,71108,6532,62.99%,Labour Hold,08/06/01 01:36
,,John Walsh,Conservative,16413,36.65%,,,,,
,,Bryn Hackley,Liberal Democrat,5430,12.12%,,,,,
,,,,,,,,,,
Bury South,,Ivan Lewis,Labour,23406,59.20%,67276,12772,58.77%,Labour Hold,08/06/01 01:24
,,Nicola L Page,Conservative,10634,26.89%,,,,,
,,Tim Pickstone,Liberal Democrat,5499,13.91%,,,,,
,,,,,,,,,,
Bury St. Edmunds,,David Ruffley,Conservative,21850,43.48%,76146,2503,66.00%,Conservative Hold,08/06/01 04:11
,,Mark Ereira,Labour,19347,38.50%,,,,,
,,Richard Williams,Liberal Democrat,6998,13.92%,,,,,
,,John Howlett,United Kingdom Independence,831,1.65%,,,,,
,,Mike Brundle,Independent,651,1.30%,,,,,
,,Michael Benwell,Socialist Labour,580,1.15%,,,,,
,,,,,,,,,,
Caernarfon,,Hywel Williams,Plaid Cymru,12894,44.38%,47354,3511,61.35%,Plaid Cymru Hold,08/06/01 02:33
,,Martin Eaglestone,Labour,9383,32.30%,,,,,
,,Bronwen Naish,Conservative,4403,15.16%,,,,,
,,Mel Owain,Liberal Democrat,1823,6.27%,,,,,
,,Ifor Lloyd,United Kingdom Independence,550,1.89%,,,,,
,,,,,,,,,,
Caerphilly,,Wayne David,Labour,22597,58.19%,67593,14425,57.45%,Labour Hold,08/06/01 01:06
,,Lindsay Whittle,Plaid Cymru,8172,21.05%,,,,,
,,David Simmonds,Conservative,4413,11.36%,,,,,
,,Rob Roffe,Liberal Democrat,3649,9.40%,,,,,
,,,,,,,,,,
"Caithness Sutherland and Easter Ross",,Vicount Thurso,Liberal Democrat,9041,36.36%,41225,2744,60.32%,Liberal Democrat Hold,08/06/01 02:49
,,Michael Meighan,Labour,6297,25.32%,,,,,
,,John Macadam,Scottish National,5273,21.20%,,,,,
,,Robert Rowantree,Conservative,3513,14.13%,,,,,
,,Karn Mabon,Scottish Socialist,544,2.19%,,,,,
,,Gordon Campbell,Independent,199,0.80%,,,,,
,,,,,,,,,,
Calder Valley,,Christine McCafferty,Labour,20244,42.69%,75298,3094,62.98%,Labour Hold,08/06/01 02:19
,,Sue Robson-Catling,Conservative,17150,36.16%,,,,,
,,Michael Taylor,Liberal Democrat,7596,16.02%,,,,,
,,Steve Hutton,Green,1034,2.18%,,,,,
,,John Nunn,United Kingdom Independence,729,1.54%,,,,,
,,Philip Lockwood,Legalise Cannabis Alliance,672,1.42%,,,,,
,,,,,,,,,,
Camberwell and Peckham,,Harriet Harman,Labour,17473,69.60%,53694,14123,46.75%,Labour Hold,08/06/01 01:48
,,Donnachadh McCarthy,Liberal Democrat,3350,13.34%,,,,,
,,Jonathan Morgan,Conservative,2740,10.91%,,,,,
,,Storm Poorun,Green,805,3.21%,,,,,
,,John Mulrenan,Socialist Alliance,478,1.90%,,,,,
,,Robert Adams,Socialist Labour,188,0.75%,,,,,
,,Frank Sweeney,Workers' Revolutionary,70,0.28%,,,,,
,,,,,,,,,,
Cambridge,,Anne Campbell,Labour,19316,45.09%,70663,8579,60.62%,Labour Hold,08/06/01 03:26
,,David Howarth,Liberal Democrat,10737,25.07%,,,,,
,,Graham Stuart,Conservative,9829,22.95%,,,,,
,,Stephen Lawrence,Green,1413,3.30%,,,,,
,,Howard Senter,Socialist Alliance,716,1.67%,,,,,
,,Len Baynes,United Kingdom Independence,532,1.24%,,,,,
,,Clare Underwood,ProLife Alliance,232,0.54%,,,,,
,,Margaret Courtney,Workers' Revolutionary,61,0.14%,,,,,
,,,,,,,,,,
Cambridgeshire North East,,Malcolm Moss,Conservative,23132,48.14%,79891,6373,60.15%,Conservative Hold,08/06/01 03:27
,,Dil Owen,Labour,16759,34.88%,,,,,
,,Richard Renaut,Liberal Democrat,6733,14.01%,,,,,
,,John Stevens,United Kingdom Independence,1189,2.47%,,,,,
,,Tony Hoey,ProLife Alliance,238,0.50%,,,,,
,,,,,,,,,,
Cambridgeshire North West,,Brian Mawhinney,Conservative,21895,49.81%,70569,8101,62.29%,Conservative Hold,08/06/01 04:15
,,Anthea Cox,Labour,13794,31.38%,,,,,
,,Alastair Taylor,Liberal Democrat,6957,15.83%,,,,,
,,Barry Hudson,United Kingdom Independence,881,2.00%,,,,,
,,David Hall,Independent,429,0.98%,,,,,
,,,,,,,,,,
Cambridgeshire South,,Andrew Lansley,Conservative,21387,44.24%,72095,8403,67.05%,Conservative Hold,08/06/01 03:20
,,Amanda Taylor,Liberal Democrat,12984,26.86%,,,,,
,,Joan Herbert,Labour,11737,24.28%,,,,,
,,Simon Saggers,Green,1182,2.45%,,,,,
,,Helene Davies,United Kingdom Independence,875,1.81%,,,,,
,,Beata Klepacka,ProLife Alliance,176,0.36%,,,,,
,,,,,,,,,,
Cambridgeshire South East,,James Paice,Conservative,22927,44.19%,81663,8990,63.54%,Conservative Hold,08/06/01 05:15
,,Sal Brinton,Liberal Democrat,13937,26.86%,,,,,
,,Andrew Inchley,Labour,13714,26.43%,,,,,
,,Neil Scarr,United Kingdom Independence,1308,2.52%,,,,,
,,,,,,,,,,
Cannock Chase,,Ton Wright,Labour,23049,56.13%,73423,10704,55.93%,Labour Hold,08/06/01 03:12
,,Gavin Smithers,Conservative,12345,30.06%,,,,,
,,Stewart Reynolds,Liberal Democrat,5670,13.81%,,,,,
,,,,,,,,,,
Canterbury,,Julian Brazier,Conservative,18711,41.46%,74159,2069,60.86%,Conservative Hold,08/06/01 02:52
,,Emily Thornberry,Labour,16642,36.87%,,,,,
,,Peter Wales,Liberal Democrat,8056,17.85%,,,,,
,,Hazel Dawe,Green,920,2.04%,,,,,
,,Lisa Moore,United Kingdom Independence,803,1.78%,,,,,
,,,,,,,,,,
Cardiff Central,,Jon Owen Jones,Labour/Co-operative,13451,38.61%,59785,659,58.28%,Labour/Co-operative Hold,08/06/01 01:58
,,Jenny Willott,Liberal Democrat,12792,36.71%,,,,,
,,Gregory Walker,Conservative,5537,15.89%,,,,,
,,Richard Grigg,Plaid Cymru,1680,4.82%,,,,,
,,Stephen Bartley,Green,661,1.90%,,,,,
,,Julian Goss,Socialist Alliance,283,0.81%,,,,,
,,Frank Hughes,United Kingdom Independence,221,0.63%,,,,,
,,Madeleine Jeremy,ProLife Alliance,217,0.62%,,,,,
,,,,,,,,,,
Cardiff North,,Julie Morgan,Labour,19845,45.90%,62634,6165,69.04%,Labour Hold,08/06/01 02:16
,,Alastair Watson,Conservative,13680,31.64%,,,,,
,,John Dixon,Liberal Democrat,6631,15.34%,,,,,
,,Sion Jobbins,Plaid Cymru,2471,5.71%,,,,,
,,Don Hulston,United Kingdom Independence,613,1.42%,,,,,
,,,,,,,,,,
Cardiff South and Penarth,,Alun Michael,Labour/Co-operative,20094,56.21%,62125,12287,57.55%,Labour/Co-operative Hold,08/06/01 01:36
,,Maureen Kell Owen,Conservative,7807,21.84%,,,,,
,,Rodney Berman,Liberal Democrat,4572,12.79%,,,,,
,,Lila Haines,Plaid Cymru,1983,5.55%,,,,,
,,Justin Callan,United Kingdom Independence,501,1.40%,,,,,
,,Dave Bartlett,Socialist Alliance,427,1.19%,,,,,
,,Anne Savoury,ProLife Alliance,367,1.03%,,,,,
,,,,,,,,,,
Cardiff West,,Kevin Brennan,Labour,18594,54.56%,58348,11321,58.41%,Labour Hold,08/06/01 01:53
,,Andrew Davies,Conservative,7273,21.34%,,,,,
,,Jacqui Gasson,Liberal Democrat,4458,13.08%,,,,,
,,Delme Bowen,Plaid Cymru,3296,9.67%,,,,,
,,Joyce Jenking,United Kingdom Independence,462,1.36%,,,,,
,,,,,,,,,,
Carlisle,,Eric Martlew,Labour,17856,51.15%,58811,5702,59.36%,Labour Hold,08/06/01 01:37
,,Mike Mitchelson,Conservative,12154,34.82%,,,,,
,,John Guest,Liberal Democrat,4076,11.68%,,,,,
,,Colin Paisley,Legalise Cannabis Alliance,554,1.59%,,,,,
,,Paul Wilcox,Socialist Alliance,269,0.77%,,,,,
,,,,,,,,,,
Carmarthen East and Dinefwr,,Adam Price,Plaid Cymru,16130,42.39%,54035,2590,70.42%,Plaid Cymru Gain,08/06/01 03:56
,,Alan Williams,Labour,13540,35.58%,,,,,
,,David Thomas,Conservative,4912,12.91%,,,,,
,,Doiran Evans,Liberal Democrat,2815,7.40%,,,,,
,,Mike Squires,United Kingdom Independence,656,1.72%,,,,,
,,,,,,,,,,
Carmarthen West and Pembrokeshire South,,Nick Ainger,Labour,15349,41.58%,56518,4538,65.32%,Labour Hold,08/06/01 03:14
,,Robert Wilson,Conservative,10811,29.29%,,,,,
,,Llyr Hughe Griffiths,Plaid Cymru,6893,18.67%,,,,,
,,William Jeremy,Liberal Democrat,3248,8.80%,,,,,
,,Ian Phillips,United Kingdom Independence,537,1.45%,,,,,
,,Nick Turner,Direct Customer Service,78,0.21%,,,,,
,,,,,,,,,,
"Carrick Cumnock and Doon Valley",,George Foulkes,Labour/Co-operative,22174,55.29%,64919,14856,61.78%,Labour/Co-operative Hold,08/06/01 02:13
,,Gordon Miller,Conservative,7318,18.25%,,,,,
,,Tom Wilson,Scottish National,6258,15.60%,,,,,
,,Amy Rogers,Liberal Democrat,2932,7.31%,,,,,
,,Amanda McFarlane,Scottish Socialist,1058,2.64%,,,,,
,,James McDaid,Socialist Labour,367,0.92%,,,,,
,,,,,,,,,,
Carshalton and Wallington,,Tom Brake,Liberal Democrat,18289,45.03%,67337,4547,60.31%,Liberal Democrat Hold,08/06/01 02:07
,,Ken Andrew,Conservative,13742,33.84%,,,,,
,,Margaret Cooper,Labour,7466,18.38%,,,,,
,,Simon Dixon,Green,614,1.51%,,,,,
,,Martin Haley,United Kingdom Independence,501,1.23%,,,,,
,,,,,,,,,,
Castle Point,,Robert Spink,Conservative,17738,44.61%,68108,985,58.38%,Conservative Gain,08/06/01 02:47
,,Christine Butler,Labour,16753,42.13%,,,,,
,,Billy Boulton,Liberal Democrat,3116,7.84%,,,,,
,,Ron Hurrell,United Kingdom Independence,1273,3.20%,,,,,
,,Douglas Roberts,Independent,663,1.67%,,,,,
,,Nik Searle,Truth,220,0.55%,,,,,
,,,,,,,,,,
Ceredigion Gogledd Penfro,,Simon Thomas,Plaid Cymru,13241,38.26%,56118,3944,61.67%,Plaid Cymru Hold,08/06/01 01:52
,,Mark Williams,Liberal Democrat,9297,26.87%,,,,,
,,Paul Davies,Conservative,6730,19.45%,,,,,
,,David Grace,Labour,5338,15.43%,,,,,
,,,,,,,,,,
Charnwood,,Stephen Dorrell,Conservative,23283,48.24%,74836,7739,64.49%,Conservative Hold,08/06/01 03:42
,,Sean Sheahan,Labour,15544,32.21%,,,,,
,,Susan King,Liberal Democrat,7835,16.23%,,,,,
,,Jamie Bye,United Kingdom Independence,1603,3.32%,,,,,
,,,,,,,,,,
Chatham and Aylesford,,Jonathan Shaw,Labour,19180,48.27%,69759,4340,56.96%,Labour Hold,08/06/01 02:29
,,Sean Holden,Conservative,14840,37.35%,,,,,
,,David Lettington,Liberal Democrat,4705,11.84%,,,,,
,,Gregory Knopp,United Kingdom Independence,1010,2.54%,,,,,
,,,,,,,,,,
Cheadle,,Patsy Calton,Liberal Democrat,18477,42.37%,69002,33,63.20%,Liberal Democrat Gain,08/06/01 01:53
,,Stephen Day,Conservative,18444,42.30%,,,,,
,,Howard Dawber,Labour,6086,13.96%,,,,,
,,Vincent Cavanagh,United Kingdom Independence,599,1.37%,,,,,
,,,,,,,,,,
Chelmsford,,Simon Burns,Conservative,20446,42.47%,78291,6261,61.49%,Conservative Hold,08/06/01 01:55
,,Adrian Longden,Labour,14185,29.46%,,,,,
,,Stephen Robinson,Liberal Democrat,11197,23.26%,,,,,
,,Eleanor Burgess,Green,837,1.74%,,,,,
,,Ken Wedon,United Kingdom Independence,785,1.63%,,,,,
,,Christopher Philbin,Legalise Cannabis Alliance,693,1.44%,,,,,
,,,,,,,,,,
Cheltenham,,Nigel Jones,Liberal Democrat,19970,47.74%,67563,5255,61.92%,Liberal Democrat Hold,08/06/01 02:08
,,Rob Garnham,Conservative,14715,35.17%,,,,,
,,Andy Erlam,Labour,5041,12.05%,,,,,
,,Keith Bessant,Green,735,1.76%,,,,,
,,Dancing Ken Hanks,Monster Raving Loony,513,1.23%,,,,,
,,Jim Carver,United Kingdom Independence,482,1.15%,,,,,
,,Anthony Gates,ProLife Alliance,272,0.65%,,,,,
,,Roger Everest,Independent,107,0.26%,,,,,
,,,,,,,,,,
Chesham and Amersham,,Cheryl Gillan,Conservative,22867,50.50%,70021,11882,64.67%,Conservative Hold,08/06/01 03:56
,,John Ford,Liberal Democrat,10985,24.26%,,,,,
,,Ken Hulme,Labour,8497,18.76%,,,,,
,,Ian Harvey,United Kingdom Independence,1367,3.02%,,,,,
,,Nick Wilkins,Green,1114,2.46%,,,,,
,,Gillian Duval,ProLife Alliance,453,1.00%,,,,,
,,,,,,,,,,
Chester,,Christine Russell,Labour,21760,48.49%,70382,6894,63.76%,Labour Hold,08/06/01 03:09
,,David Jones,Conservative,14866,33.13%,,,,,
,,Tony Dawson,Liberal Democrat,6589,14.68%,,,,,
,,Allan Weddell,United Kingdom Independence,899,2.00%,,,,,
,,George Rogers,Independent,763,1.70%,,,,,
,,,,,,,,,,
Chesterfield,,Paul Holmes,Liberal Democrat,21249,47.81%,73252,2586,60.67%,Liberal Democrat Gain,08/06/01 02:45
,,Reg Race,Labour,18663,42.00%,,,,,
,,Simon Hitchcock,Conservative,3613,8.13%,,,,,
,,Jeannie Robinson,Socialist Alliance,437,0.98%,,,,,
,,Bill Harrison,Socialist Labour,295,0.66%,,,,,
,,Christopher Rawson,Independent,184,0.41%,,,,,
,,,,,,,,,,
Chichester,,Andrew Tyrie,Conservative,23320,47.10%,77703,11355,63.72%,Conservative Hold,08/06/01 04:40
,,Lynne Ravenscroft,Liberal Democrat,11965,24.17%,,,,,
